atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
22.12	Ti	XIII	17.727	2.0	0.0139	NIST	L270
22.12	Ti	XIII	17.869	1.0	0.0069	NIST	L270
22.12	Ti	XIII	19.204	5.0	0.0347	NIST	L270
22.12	Ti	XIII	19.366	4.0	0.0278	NIST	L270
22.12	Ti	XIII	19.943	1.0	0.0069	NIST	L270
22.12	Ti	XIII	20.135	1.0	0.0069	NIST	L270
22.12	Ti	XIII	21.035	7.0	0.0486	NIST	L270
22.12	Ti	XIII	21.127	2.0	0.0139	NIST	L270
22.12	Ti	XIII	74.108	2.0	0.0139	NIST	L6938
22.12	Ti	XIII	79.004	1.0	0.0069	NIST	L6938
22.12	Ti	XIII	79.235	1.0	0.0069	NIST	L6938
22.12	Ti	XIII	80.502	3.0	0.0208	NIST	L6938
22.12	Ti	XIII	80.61	3.0	0.0208	NIST	L6938
22.12	Ti	XIII	80.927	10.0	0.0694	NIST	L6938
22.12	Ti	XIII	81.153	3.0	0.0208	NIST	L6938
22.12	Ti	XIII	81.258	5.0	0.0347	NIST	L6938
22.12	Ti	XIII	81.322	2.0	0.0139	NIST	L6938
22.12	Ti	XIII	81.611	10.0	0.0694	NIST	L6938
22.12	Ti	XIII	94.788	2.0	0.0139	NIST	L6938
22.12	Ti	XIII	96.429	1.0	0.0069	NIST	L6938
22.12	Ti	XIII	97.358	2.0	0.0139	NIST	L6938
22.12	Ti	XIII	97.758	5.0	0.0347	NIST	L6938
22.12	Ti	XIII	98.49	10.0	0.0694	NIST	L6938
22.12	Ti	XIII	99.074	30.0	0.2083	NIST	L6938
22.12	Ti	XIII	99.572	50.0	0.3472	NIST	L6938
22.12	Ti	XIII	99.834	15.0	0.1042	NIST	L6938
22.12	Ti	XIII	100.133	25.0	0.1736	NIST	L6938
22.12	Ti	XIII	100.2	15.0	0.1042	NIST	L6938
22.12	Ti	XIII	100.753	20.0	0.1389	NIST	L6938
22.12	Ti	XIII	102.964	7.0	0.0486	NIST	L6938
22.12	Ti	XIII	104.593	2.0	0.0139	NIST	L6938
22.12	Ti	XIII	285.08	9.0	0.0625	NIST	L6956
22.12	Ti	XIII	326.29	15.0	0.1042	NIST	L6956
22.12	Ti	XIII	336.029	32.0	0.2222	NIST	L6203
22.12	Ti	XIII	343.84	23.0	0.1597	NIST	L6288
22.12	Ti	XIII	346.163	18.0	0.125	NIST	L6203
22.12	Ti	XIII	347.563	32.0	0.2222	NIST	L6203
22.12	Ti	XIII	351.58	18.0	0.125	NIST	L6288
22.12	Ti	XIII	354.788	56.0	0.3889	NIST	L6203
22.12	Ti	XIII	359.311	109.0	0.7569	NIST	L6203
22.12	Ti	XIII	362.518	49.0	0.3403	NIST	L6203
22.12	Ti	XIII	362.86	49.0	0.3403	NIST	L6288
22.12	Ti	XIII	365.74	91.0	0.6319	NIST	L6288
22.12	Ti	XIII	366.569	70.0	0.4861	NIST	L6203
22.12	Ti	XIII	366.91	40.0	0.2778	NIST	L6203
22.12	Ti	XIII	367.61	7.0	0.0486	NIST	L6288
22.12	Ti	XIII	367.89	7.0	0.0486	NIST	L6288
22.12	Ti	XIII	369.37	144.0	1.0	NIST	L6288
22.12	Ti	XIII	369.531	144.0	1.0	NIST	L6203
22.12	Ti	XIII	373.69	12.0	0.0833	NIST	L6288
22.12	Ti	XIII	374.85	12.0	0.0833	NIST	L6288
22.12	Ti	XIII	386.06	110.0	0.7639	NIST	L6288
22.12	Ti	XIII	392.16	39.0	0.2708	NIST	L6288
22.12	Ti	XIII	399.63	23.0	0.1597	NIST	L6288
22.12	Ti	XIII	415.44	28.0	0.1944	NIST	L6288
22.12	Ti	XIII	437.212	48.0	0.3333	NIST	L6203
22.12	Ti	XIII	455.355	16.0	0.1111	NIST	L6203
22.12	Ti	XIII	459.35	24.0	0.1667	NIST	L6288
22.12	Ti	XIII	472.088	36.0	0.25	NIST	L6203
22.12	Ti	XIII	473.381	14.0	0.0972	NIST	L6203
22.12	Ti	XIII	474.45	106.0	0.7361	NIST	L6288
22.12	Ti	XIII	474.611	106.0	0.7361	NIST	L6203
22.12	Ti	XIII	478.7	23.0	0.1597	NIST	L6288
22.12	Ti	XIII	480.63	33.0	0.2292	NIST	L6288
22.12	Ti	XIII	485.623	11.0	0.0764	NIST	L6203
22.12	Ti	XIII	492.51	6.0	0.0417	NIST	L6288
22.12	Ti	XIII	496.23	15.0	0.1042	NIST	L6288
22.12	Ti	XIII	506.18	10.0	0.0694	NIST	L6288
22.12	Ti	XIII	507.64	28.0	0.1944	NIST	L6288
22.12	Ti	XIII	551.6	14.0	0.0972	NIST	L6288
