atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
69.02	Tm	III	2099.11	500.0	0.0167	NIST	L587
69.02	Tm	III	2107.1	500.0	0.0167	NIST	L587
69.02	Tm	III	2136.67	200.0	0.0067	NIST	L587
69.02	Tm	III	2156.29	200.0	0.0067	NIST	L587
69.02	Tm	III	2182.98	800.0	0.0267	NIST	L587
69.02	Tm	III	2183.91	300.0	0.01	NIST	L587
69.02	Tm	III	2185.94	5000.0	0.1667	NIST	L587
69.02	Tm	III	2212.25	100.0	0.0033	NIST	L587
69.02	Tm	III	2230.86	300.0	0.01	NIST	L587
69.02	Tm	III	2231.25	400.0	0.0133	NIST	L587
69.02	Tm	III	2243.34	200.0	0.0067	NIST	L587
69.02	Tm	III	2243.98	400.0	0.0133	NIST	L587
69.02	Tm	III	2246.68	200.0	0.0067	NIST	L587
69.02	Tm	III	2269.39	200.0	0.0067	NIST	L587
69.02	Tm	III	2276.91	1000.0	0.0333	NIST	L587
69.02	Tm	III	2280.08	100.0	0.0033	NIST	L587
69.02	Tm	III	2281.27	100.0	0.0033	NIST	L587
69.02	Tm	III	2282.86	100.0	0.0033	NIST	L587
69.02	Tm	III	2282.98	200.0	0.0067	NIST	L587
69.02	Tm	III	2286.57	200.0	0.0067	NIST	L587
69.02	Tm	III	2287.21	400.0	0.0133	NIST	L587
69.02	Tm	III	2294.73	500.0	0.0167	NIST	L587
69.02	Tm	III	2296.21	20000.0	0.6667	NIST	L587
69.02	Tm	III	2297.43	200.0	0.0067	NIST	L587
69.02	Tm	III	2304.64	100.0	0.0033	NIST	L587
69.02	Tm	III	2304.82	400.0	0.0133	NIST	L587
69.02	Tm	III	2305.03	5000.0	0.1667	NIST	L587
69.02	Tm	III	2311.16	20000.0	0.6667	NIST	L587
69.02	Tm	III	2312.72	5000.0	0.1667	NIST	L587
69.02	Tm	III	2314.88	200.0	0.0067	NIST	L587
69.02	Tm	III	2317.35	400.0	0.0133	NIST	L587
69.02	Tm	III	2320.96	500.0	0.0167	NIST	L587
69.02	Tm	III	2322.83	200.0	0.0067	NIST	L587
69.02	Tm	III	2323.71	100.0	0.0033	NIST	L587
69.02	Tm	III	2323.77	100.0	0.0033	NIST	L587
69.02	Tm	III	2324.43	100.0	0.0033	NIST	L587
69.02	Tm	III	2324.62	500.0	0.0167	NIST	L587
69.02	Tm	III	2326.19	5000.0	0.1667	NIST	L587
69.02	Tm	III	2327.02	100.0	0.0033	NIST	L587
69.02	Tm	III	2327.25	300.0	0.01	NIST	L587
69.02	Tm	III	2328.5	6000.0	0.2	NIST	L587
69.02	Tm	III	2329.29	6000.0	0.2	NIST	L587
69.02	Tm	III	2330.87	200.0	0.0067	NIST	L587
69.02	Tm	III	2331.8	3000.0	0.1	NIST	L587
69.02	Tm	III	2335.01	400.0	0.0133	NIST	L587
69.02	Tm	III	2338.36	1000.0	0.0333	NIST	L587
69.02	Tm	III	2341.74	500.0	0.0167	NIST	L587
69.02	Tm	III	2342.04	300.0	0.01	NIST	L587
69.02	Tm	III	2344.59	100.0	0.0033	NIST	L587
69.02	Tm	III	2345.61	500.0	0.0167	NIST	L587
69.02	Tm	III	2347.43	300.0	0.01	NIST	L587
69.02	Tm	III	2353.1	400.0	0.0133	NIST	L587
69.02	Tm	III	2355.65	100.0	0.0033	NIST	L587
69.02	Tm	III	2357.05	3000.0	0.1	NIST	L587
69.02	Tm	III	2361.23	1000.0	0.0333	NIST	L587
69.02	Tm	III	2363.97	500.0	0.0167	NIST	L587
69.02	Tm	III	2375.32	1000.0	0.0333	NIST	L587
69.02	Tm	III	2375.83	700.0	0.0233	NIST	L587
69.02	Tm	III	2389.52	400.0	0.0133	NIST	L587
69.02	Tm	III	2406.63	4000.0	0.1333	NIST	L587
69.02	Tm	III	2435.31	500.0	0.0167	NIST	L587
69.02	Tm	III	2457.86	500.0	0.0167	NIST	L587
69.02	Tm	III	2471.23	500.0	0.0167	NIST	L587
69.02	Tm	III	2489.44	30000.0	1.0	NIST	L587
69.02	Tm	III	2496.25	200.0	0.0067	NIST	L587
69.02	Tm	III	2504.71	2000.0	0.0667	NIST	L587
69.02	Tm	III	2519.78	3000.0	0.1	NIST	L587
69.02	Tm	III	2552.46	10000.0	0.3333	NIST	L587
69.02	Tm	III	2557.9	500.0	0.0167	NIST	L587
69.02	Tm	III	2574.52	1000.0	0.0333	NIST	L587
69.02	Tm	III	2574.98	500.0	0.0167	NIST	L587
69.02	Tm	III	2581.84	100.0	0.0033	NIST	L587
69.02	Tm	III	2585.48	100.0	0.0033	NIST	L587
69.02	Tm	III	2589.2	300.0	0.01	NIST	L587
69.02	Tm	III	2608.96	500.0	0.0167	NIST	L587
69.02	Tm	III	2609.66	300.0	0.01	NIST	L587
69.02	Tm	III	2617.22	500.0	0.0167	NIST	L587
69.02	Tm	III	2618.78	500.0	0.0167	NIST	L587
69.02	Tm	III	2621.12	1000.0	0.0333	NIST	L587
69.02	Tm	III	2621.35	400.0	0.0133	NIST	L587
69.02	Tm	III	2622.31	400.0	0.0133	NIST	L587
69.02	Tm	III	2627.09	100.0	0.0033	NIST	L587
69.02	Tm	III	2628.83	100.0	0.0033	NIST	L587
69.02	Tm	III	2634.66	300.0	0.01	NIST	L587
69.02	Tm	III	2636.68	200.0	0.0067	NIST	L587
69.02	Tm	III	2637.3	200.0	0.0067	NIST	L587
69.02	Tm	III	2640.32	100.0	0.0033	NIST	L587
69.02	Tm	III	2643.58	500.0	0.0167	NIST	L587
69.02	Tm	III	2645.05	100.0	0.0033	NIST	L587
69.02	Tm	III	2649.27	200.0	0.0067	NIST	L587
69.02	Tm	III	2650.82	100.0	0.0033	NIST	L587
69.02	Tm	III	2654.05	100.0	0.0033	NIST	L587
69.02	Tm	III	2656.3	100.0	0.0033	NIST	L587
69.02	Tm	III	2661.51	500.0	0.0167	NIST	L587
69.02	Tm	III	2663.0	1000.0	0.0333	NIST	L587
69.02	Tm	III	2664.76	500.0	0.0167	NIST	L587
69.02	Tm	III	2664.88	500.0	0.0167	NIST	L587
69.02	Tm	III	2665.05	200.0	0.0067	NIST	L587
69.02	Tm	III	2666.93	1000.0	0.0333	NIST	L587
69.02	Tm	III	2668.59	200.0	0.0067	NIST	L587
69.02	Tm	III	2668.66	100.0	0.0033	NIST	L587
69.02	Tm	III	2669.18	200.0	0.0067	NIST	L587
69.02	Tm	III	2671.42	100.0	0.0033	NIST	L587
69.02	Tm	III	2675.3	100.0	0.0033	NIST	L587
69.02	Tm	III	2676.64	1000.0	0.0333	NIST	L587
69.02	Tm	III	2676.91	500.0	0.0167	NIST	L587
69.02	Tm	III	2678.28	100.0	0.0033	NIST	L587
