atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
92.00	U	I	3357.84	390.0	0.1219	NIST	L3475
92.00	U	I	3390.38	730.0	0.2281	NIST	L3475
92.00	U	I	3435.49	580.0	0.1812	NIST	L3475
92.00	U	I	3459.92	360.0	0.1125	NIST	L3475
92.00	U	I	3462.22	320.0	0.1	NIST	L3475
92.00	U	I	3463.55	460.0	0.1437	NIST	L3475
92.00	U	I	3466.3	630.0	0.1969	NIST	L3475
92.00	U	I	3473.43	320.0	0.1	NIST	L3475
92.00	U	I	3480.36	360.0	0.1125	NIST	L3475
92.00	U	I	3489.37	1600.0	0.5	NIST	L3475
92.00	U	I	3494.0	340.0	0.1062	NIST	L3475
92.00	U	I	3500.08	630.0	0.1969	NIST	L3475
92.00	U	I	3504.01	320.0	0.1	NIST	L3475
92.00	U	I	3507.34	780.0	0.2437	NIST	L3475
92.00	U	I	3513.67	320.0	0.1	NIST	L3475
92.00	U	I	3514.61	1600.0	0.5	NIST	L3475
92.00	U	I	3534.33	320.0	0.1	NIST	L3475
92.00	U	I	3542.57	320.0	0.1	NIST	L3475
92.00	U	I	3549.2	320.0	0.1	NIST	L3475
92.00	U	I	3552.95	20.0	0.0063	NIST	L1813
92.00	U	I	3553.01	370.0	0.1156	NIST	L1813
92.00	U	I	3553.435	720.0	0.225	NIST	L1813
92.00	U	I	3554.499	600.0	0.1875	NIST	L1813
92.00	U	I	3554.874	390.0	0.1219	NIST	L1813
92.00	U	I	3555.32	680.0	0.2125	NIST	L3475
92.00	U	I	3555.827	570.0	0.1781	NIST	L1813
92.00	U	I	3556.925	30.0	0.0094	NIST	L1813
92.00	U	I	3557.841	910.0	0.2844	NIST	L1813
92.00	U	I	3558.015	120.0	0.0375	NIST	L1813
92.00	U	I	3558.579	470.0	0.1469	NIST	L1813
92.00	U	I	3559.4	290.0	0.0906	NIST	L1813
92.00	U	I	3560.309	290.0	0.0906	NIST	L1813
92.00	U	I	3561.41	320.0	0.1	NIST	L3475
92.00	U	I	3561.46	110.0	0.0344	NIST	L1813
92.00	U	I	3561.8	1200.0	0.375	NIST	L3475
92.00	U	I	3563.66	390.0	0.1219	NIST	L3475
92.00	U	I	3563.816	40.0	0.0125	NIST	L1813
92.00	U	I	3565.046	470.0	0.1469	NIST	L1813
92.00	U	I	3566.002	490.0	0.1531	NIST	L1813
92.00	U	I	3566.59	2300.0	0.7188	NIST	L3475
92.00	U	I	3568.779	600.0	0.1875	NIST	L1813
92.00	U	I	3569.08	530.0	0.1656	NIST	L3475
92.00	U	I	3569.367	290.0	0.0906	NIST	L1813
92.00	U	I	3570.094	230.0	0.0719	NIST	L1813
92.00	U	I	3570.217	370.0	0.1156	NIST	L1813
92.00	U	I	3570.584	210.0	0.0656	NIST	L1813
92.00	U	I	3570.711	430.0	0.1344	NIST	L1813
92.00	U	I	3571.164	550.0	0.1719	NIST	L1813
92.00	U	I	3571.551	230.0	0.0719	NIST	L1813
92.00	U	I	3572.927	470.0	0.1469	NIST	L1813
92.00	U	I	3573.875	450.0	0.1406	NIST	L1813
92.00	U	I	3574.11	290.0	0.0906	NIST	L1813
92.00	U	I	3574.76	320.0	0.1	NIST	L3475
92.00	U	I	3577.069	370.0	0.1156	NIST	L1813
92.00	U	I	3577.49	230.0	0.0719	NIST	L1813
92.00	U	I	3577.781	430.0	0.1344	NIST	L1813
92.00	U	I	3577.92	360.0	0.1125	NIST	L3475
92.00	U	I	3578.327	620.0	0.1938	NIST	L1813
92.00	U	I	3579.952	160.0	0.05	NIST	L1813
92.00	U	I	3580.246	640.0	0.2	NIST	L1813
92.00	U	I	3580.365	530.0	0.1656	NIST	L1813
92.00	U	I	3580.921	430.0	0.1344	NIST	L1813
92.00	U	I	3582.622	530.0	0.1656	NIST	L1813
92.00	U	I	3584.641	240.0	0.075	NIST	L1813
92.00	U	I	3584.88	3200.0	1.0	NIST	L3475
92.00	U	I	3585.375	600.0	0.1875	NIST	L1813
92.00	U	I	3585.837	640.0	0.2	NIST	L1813
92.00	U	I	3587.784	150.0	0.0469	NIST	L1813
92.00	U	I	3588.348	210.0	0.0656	NIST	L1813
92.00	U	I	3589.659	640.0	0.2	NIST	L1813
92.00	U	I	3589.787	570.0	0.1781	NIST	L1813
92.00	U	I	3590.726	190.0	0.0594	NIST	L1813
92.00	U	I	3591.74	390.0	0.1219	NIST	L3475
92.00	U	I	3592.969	370.0	0.1156	NIST	L1813
92.00	U	I	3593.194	410.0	0.1281	NIST	L1813
92.00	U	I	3593.686	410.0	0.1281	NIST	L1813
92.00	U	I	3605.27	460.0	0.1437	NIST	L3475
92.00	U	I	3616.33	320.0	0.1	NIST	L3475
92.00	U	I	3620.08	320.0	0.1	NIST	L3475
92.00	U	I	3622.7	320.0	0.1	NIST	L3475
92.00	U	I	3638.2	840.0	0.2625	NIST	L3475
92.00	U	I	3644.24	420.0	0.1313	NIST	L3475
92.00	U	I	3651.54	660.0	0.2062	NIST	L3475
92.00	U	I	3652.06	490.0	0.1531	NIST	L3475
92.00	U	I	3659.15	960.0	0.3	NIST	L3475
92.00	U	I	3713.55	350.0	0.1094	NIST	L3475
92.00	U	I	3751.17	600.0	0.1875	NIST	L3475
92.00	U	I	3758.35	490.0	0.1531	NIST	L3475
92.00	U	I	3763.26	330.0	0.1031	NIST	L3475
92.00	U	I	3766.89	430.0	0.1344	NIST	L3475
92.00	U	I	3773.43	540.0	0.1688	NIST	L3475
92.00	U	I	3776.48	300.0	0.0938	NIST	L3475
