atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
23.03	V	IV	378.678	3.0	0.006	NIST	L4270
23.03	V	IV	378.929	4.0	0.008	NIST	L4270
23.03	V	IV	378.993	4.0	0.008	NIST	L4270
23.03	V	IV	379.093	4.0	0.008	NIST	L4270
23.03	V	IV	379.353	5.0	0.01	NIST	L4270
23.03	V	IV	379.372	3.0	0.006	NIST	L4270
23.03	V	IV	379.395	3.0	0.006	NIST	L4270
23.03	V	IV	379.512	5.0	0.01	NIST	L4270
23.03	V	IV	379.613	7.0	0.014	NIST	L4270
23.03	V	IV	379.682	4.0	0.008	NIST	L4270
23.03	V	IV	392.428	3.0	0.006	NIST	L4270
23.03	V	IV	392.602	2.0	0.004	NIST	L4270
23.03	V	IV	393.79	4.0	0.008	NIST	L4270
23.03	V	IV	394.441	3.0	0.006	NIST	L4270
23.03	V	IV	397.097	3.0	0.006	NIST	L4270
23.03	V	IV	397.122	4.0	0.008	NIST	L4270
23.03	V	IV	402.885	6.0	0.012	NIST	L4270
23.03	V	IV	675.469	30.0	0.06	NIST	L147
23.03	V	IV	677.345	200.0	0.4	NIST	L147
23.03	V	IV	678.74	60.0	0.12	NIST	L147
23.03	V	IV	679.647	50.0	0.1	NIST	L147
23.03	V	IV	680.632	40.0	0.08	NIST	L147
23.03	V	IV	681.145	40.0	0.08	NIST	L147
23.03	V	IV	682.455	40.0	0.08	NIST	L147
23.03	V	IV	682.923	40.0	0.08	NIST	L147
23.03	V	IV	684.368	500.0	1.0	NIST	L147
23.03	V	IV	684.45	100.0	0.2	NIST	L147
23.03	V	IV	691.53	100.0	0.2	NIST	L147
23.03	V	IV	693.128	50.0	0.1	NIST	L147
23.03	V	IV	699.497	30.0	0.06	NIST	L147
23.03	V	IV	702.035	1.0	0.002	NIST	L147
23.03	V	IV	711.911	20.0	0.04	NIST	L147
23.03	V	IV	722.912	40.0	0.08	NIST	L147
23.03	V	IV	723.045	40.0	0.08	NIST	L147
23.03	V	IV	723.537	40.0	0.08	NIST	L147
23.03	V	IV	723.652	40.0	0.08	NIST	L147
23.03	V	IV	724.068	40.0	0.08	NIST	L147
23.03	V	IV	724.809	5.0	0.01	NIST	L147
23.03	V	IV	734.344	20.0	0.04	NIST	L147
23.03	V	IV	737.854	400.0	0.8	NIST	L147
23.03	V	IV	745.165	20.0	0.04	NIST	L147
23.03	V	IV	749.641	40.0	0.08	NIST	L147
23.03	V	IV	750.11	150.0	0.3	NIST	L147
23.03	V	IV	750.809	40.0	0.08	NIST	L147
23.03	V	IV	751.908	30.0	0.06	NIST	L147
23.03	V	IV	752.038	30.0	0.06	NIST	L147
23.03	V	IV	752.568	20.0	0.04	NIST	L147
23.03	V	IV	884.146	30.0	0.06	NIST	L147
23.03	V	IV	1071.054	20.0	0.04	NIST	L147
23.03	V	IV	1086.382	5.0	0.01	NIST	L147
23.03	V	IV	1096.375	2.0	0.004	NIST	L147
23.03	V	IV	1110.72	2.0	0.004	NIST	L147
23.03	V	IV	1112.199	5.0	0.01	NIST	L147
23.03	V	IV	1112.436	5.0	0.01	NIST	L147
23.03	V	IV	1127.836	20.0	0.04	NIST	L147
23.03	V	IV	1131.255	20.0	0.04	NIST	L147
23.03	V	IV	1194.462	20.0	0.04	NIST	L147
23.03	V	IV	1226.523	60.0	0.12	NIST	L147
23.03	V	IV	1242.248	3.0	0.006	NIST	L147
23.03	V	IV	1243.718	10.0	0.02	NIST	L147
23.03	V	IV	1244.287	2.0	0.004	NIST	L147
23.03	V	IV	1247.069	30.0	0.06	NIST	L147
23.03	V	IV	1250.918	20.0	0.04	NIST	L147
23.03	V	IV	1271.153	2.0	0.004	NIST	L147
23.03	V	IV	1272.972	30.0	0.06	NIST	L147
23.03	V	IV	1273.529	10.0	0.02	NIST	L147
23.03	V	IV	1304.173	30.0	0.06	NIST	L147
23.03	V	IV	1305.42	40.0	0.08	NIST	L147
23.03	V	IV	1308.061	50.0	0.1	NIST	L147
23.03	V	IV	1309.502	10.0	0.02	NIST	L147
23.03	V	IV	1312.717	20.0	0.04	NIST	L147
23.03	V	IV	1317.566	5.0	0.01	NIST	L147
23.03	V	IV	1321.719	10.0	0.02	NIST	L147
23.03	V	IV	1321.917	10.0	0.02	NIST	L147
23.03	V	IV	1326.666	5.0	0.01	NIST	L147
23.03	V	IV	1326.807	5.0	0.01	NIST	L147
23.03	V	IV	1329.288	10.0	0.02	NIST	L147
23.03	V	IV	1329.968	10.0	0.02	NIST	L147
23.03	V	IV	1330.355	10.0	0.02	NIST	L147
23.03	V	IV	1332.459	3.0	0.006	NIST	L147
23.03	V	IV	1339.335	5.0	0.01	NIST	L147
23.03	V	IV	1347.03	1.0	0.002	NIST	L147
23.03	V	IV	1355.131	80.0	0.16	NIST	L147
23.03	V	IV	1356.529	10.0	0.02	NIST	L147
23.03	V	IV	1391.105	20.0	0.04	NIST	L147
23.03	V	IV	1395.001	60.0	0.12	NIST	L147
23.03	V	IV	1400.416	5.0	0.01	NIST	L147
23.03	V	IV	1403.618	8.0	0.016	NIST	L147
23.03	V	IV	1408.639	8.0	0.016	NIST	L147
23.03	V	IV	1410.018	8.0	0.016	NIST	L147
23.03	V	IV	1412.686	20.0	0.04	NIST	L147
23.03	V	IV	1414.409	50.0	0.1	NIST	L147
23.03	V	IV	1414.842	20.0	0.04	NIST	L147
23.03	V	IV	1418.533	30.0	0.06	NIST	L147
23.03	V	IV	1418.921	10.0	0.02	NIST	L147
23.03	V	IV	1419.58	80.0	0.16	NIST	L147
23.03	V	IV	1423.42	10.0	0.02	NIST	L147
23.03	V	IV	1423.719	30.0	0.06	NIST	L147
23.03	V	IV	1424.916	10.0	0.02	NIST	L147
23.03	V	IV	1426.654	100.0	0.2	NIST	L147
23.03	V	IV	1429.114	10.0	0.02	NIST	L147
23.03	V	IV	1433.276	1.0	0.002	NIST	L147
23.03	V	IV	1434.092	15.0	0.03	NIST	L147
23.03	V	IV	1434.842	15.0	0.03	NIST	L147
23.03	V	IV	1439.834	1.0	0.002	NIST	L147
23.03	V	IV	1449.681	20.0	0.04	NIST	L147
23.03	V	IV	1451.042	30.0	0.06	NIST	L147
23.03	V	IV	1451.496	10.0	0.02	NIST	L147
23.03	V	IV	1454.0	40.0	0.08	NIST	L147
23.03	V	IV	1520.142	60.0	0.12	NIST	L147
23.03	V	IV	1522.493	40.0	0.08	NIST	L147
23.03	V	IV	1525.756	10.0	0.02	NIST	L147
23.03	V	IV	1527.223	15.0	0.03	NIST	L147
23.03	V	IV	1527.721	15.0	0.03	NIST	L147
23.03	V	IV	1601.915	80.0	0.16	NIST	L147
23.03	V	IV	1611.879	80.0	0.16	NIST	L147
23.03	V	IV	1806.184	80.0	0.16	NIST	L147
23.03	V	IV	1809.854	60.0	0.12	NIST	L147
23.03	V	IV	1810.566	30.0	0.06	NIST	L147
23.03	V	IV	1813.05	50.0	0.1	NIST	L147
23.03	V	IV	1817.676	100.0	0.2	NIST	L147
23.03	V	IV	1825.836	200.0	0.4	NIST	L147
23.03	V	IV	1861.558	300.0	0.6	NIST	L147
23.03	V	IV	1939.065	500.0	1.0	NIST	L147
23.03	V	IV	1946.772	5.0	0.01	NIST	L147
23.03	V	IV	1951.432	400.0	0.8	NIST	L147
23.03	V	IV	1963.103	300.0	0.6	NIST	L147
23.03	V	IV	1966.244	20.0	0.04	NIST	L147
23.03	V	IV	1971.471	40.0	0.08	NIST	L147
23.03	V	IV	1982.422	15.0	0.03	NIST	L147
23.03	V	IV	1990.712	40.0	0.08	NIST	L147
23.03	V	IV	1997.722	500.0	1.0	NIST	L147
23.03	V	IV	1999.32	200.0	0.4	NIST	L147
23.03	V	IV	2002.48	100.0	0.2	NIST	L147
23.03	V	IV	2011.18	40.0	0.08	NIST	L147
23.03	V	IV	2014.199	40.0	0.08	NIST	L147
23.03	V	IV	2027.144	1.0	0.002	NIST	L147
23.03	V	IV	2042.454	20.0	0.04	NIST	L147
23.03	V	IV	2063.563	2.0	0.004	NIST	L147
23.03	V	IV	2079.3	30.0	0.06	NIST	L147
23.03	V	IV	2084.433	20.0	0.04	NIST	L147
23.03	V	IV	2086.073	30.0	0.06	NIST	L147
23.03	V	IV	2088.737	50.0	0.1	NIST	L147
23.03	V	IV	2106.56	2.0	0.004	NIST	L147
23.03	V	IV	2120.052	40.0	0.08	NIST	L147
23.03	V	IV	2129.934	30.0	0.06	NIST	L147
23.03	V	IV	2136.33	10.0	0.02	NIST	L147
23.03	V	IV	2137.741	20.0	0.04	NIST	L147
23.03	V	IV	2141.199	40.0	0.08	NIST	L147
23.03	V	IV	2146.828	50.0	0.1	NIST	L147
23.03	V	IV	2149.852	20.0	0.04	NIST	L147
23.03	V	IV	2150.231	40.0	0.08	NIST	L147
23.03	V	IV	2151.087	20.0	0.04	NIST	L147
23.03	V	IV	2155.336	100.0	0.2	NIST	L147
23.03	V	IV	2159.055	10.0	0.02	NIST	L147
23.03	V	IV	2160.222	20.0	0.04	NIST	L147
23.03	V	IV	2162.498	30.0	0.06	NIST	L147
23.03	V	IV	2167.2	20.0	0.04	NIST	L147
23.03	V	IV	2170.384	40.0	0.08	NIST	L147
23.03	V	IV	2173.893	10.0	0.02	NIST	L147
23.03	V	IV	2187.562	5.0	0.01	NIST	L147
23.03	V	IV	2195.388	10.0	0.02	NIST	L147
23.03	V	IV	2268.298	500.0	1.0	NIST	L147
23.03	V	IV	2313.236	1.0	0.002	NIST	L147
23.03	V	IV	2321.962	1.0	0.002	NIST	L147
23.03	V	IV	2322.259	5.0	0.01	NIST	L147
23.03	V	IV	2326.291	3.0	0.006	NIST	L147
23.03	V	IV	2338.032	10.0	0.02	NIST	L147
23.03	V	IV	2339.548	20.0	0.04	NIST	L147
23.03	V	IV	2340.14	10.0	0.02	NIST	L147
23.03	V	IV	2340.704	5.0	0.01	NIST	L147
23.03	V	IV	2351.934	5.0	0.01	NIST	L147
23.03	V	IV	2353.639	3.0	0.006	NIST	L147
23.03	V	IV	2356.369	10.0	0.02	NIST	L147
23.03	V	IV	2356.624	5.0	0.01	NIST	L147
23.03	V	IV	2364.512	1.0	0.002	NIST	L147
23.03	V	IV	2378.29	1.0	0.002	NIST	L147
23.03	V	IV	2381.712	10.0	0.02	NIST	L147
23.03	V	IV	2384.729	10.0	0.02	NIST	L147
23.03	V	IV	2387.663	3.0	0.006	NIST	L147
23.03	V	IV	2395.45	10.0	0.02	NIST	L147
23.03	V	IV	2402.855	5.0	0.01	NIST	L147
23.03	V	IV	2413.256	20.0	0.04	NIST	L147
23.03	V	IV	2413.524	5.0	0.01	NIST	L147
23.03	V	IV	2416.552	30.0	0.06	NIST	L147
23.03	V	IV	2421.317	50.0	0.1	NIST	L147
23.03	V	IV	2431.885	30.0	0.06	NIST	L147
23.03	V	IV	2432.518	10.0	0.02	NIST	L147
23.03	V	IV	2433.53	50.0	0.1	NIST	L147
23.03	V	IV	2446.017	30.0	0.06	NIST	L147
23.03	V	IV	2446.802	50.0	0.1	NIST	L147
23.03	V	IV	2449.404	40.0	0.08	NIST	L147
23.03	V	IV	2449.723	20.0	0.04	NIST	L147
23.03	V	IV	2450.329	20.0	0.04	NIST	L147
23.03	V	IV	2450.869	50.0	0.1	NIST	L147
23.03	V	IV	2463.796	10.0	0.02	NIST	L147
23.03	V	IV	2464.72	2.0	0.004	NIST	L147
23.03	V	IV	2467.287	20.0	0.04	NIST	L147
23.03	V	IV	2478.119	1.0	0.002	NIST	L147
23.03	V	IV	2480.739	30.0	0.06	NIST	L147
23.03	V	IV	2494.351	20.0	0.04	NIST	L147
23.03	V	IV	2497.049	10.0	0.02	NIST	L147
23.03	V	IV	2506.969	10.0	0.02	NIST	L147
23.03	V	IV	2509.606	5.0	0.01	NIST	L147
23.03	V	IV	2511.377	1.0	0.002	NIST	L147
23.03	V	IV	2519.803	20.0	0.04	NIST	L147
23.03	V	IV	2530.52	2.0	0.004	NIST	L147
23.03	V	IV	2532.982	20.0	0.04	NIST	L147
23.03	V	IV	2546.228	20.0	0.04	NIST	L147
23.03	V	IV	2550.971	2.0	0.004	NIST	L147
23.03	V	IV	2556.915	50.0	0.1	NIST	L147
23.03	V	IV	2557.897	15.0	0.03	NIST	L147
23.03	V	IV	2569.812	10.0	0.02	NIST	L147
23.03	V	IV	2570.724	80.0	0.16	NIST	L147
23.03	V	IV	2584.636	40.0	0.08	NIST	L147
23.03	V	IV	2587.258	10.0	0.02	NIST	L147
23.03	V	IV	2595.858	20.0	0.04	NIST	L147
23.03	V	IV	2596.761	15.0	0.03	NIST	L147
23.03	V	IV	2598.287	30.0	0.06	NIST	L147
23.03	V	IV	2599.983	30.0	0.06	NIST	L147
23.03	V	IV	2603.213	10.0	0.02	NIST	L147
23.03	V	IV	2607.633	5.0	0.01	NIST	L147
23.03	V	IV	2610.323	10.0	0.02	NIST	L147
23.03	V	IV	2614.154	1.0	0.002	NIST	L147
23.03	V	IV	2620.32	25.0	0.05	NIST	L147
23.03	V	IV	2623.483	15.0	0.03	NIST	L147
23.03	V	IV	2624.213	50.0	0.1	NIST	L147
23.03	V	IV	2628.09	20.0	0.04	NIST	L147
23.03	V	IV	2636.401	30.0	0.06	NIST	L147
23.03	V	IV	2636.936	10.0	0.02	NIST	L147
23.03	V	IV	2644.946	8.0	0.016	NIST	L147
23.03	V	IV	2645.541	80.0	0.16	NIST	L147
23.03	V	IV	2650.613	8.0	0.016	NIST	L147
23.03	V	IV	2655.408	50.0	0.1	NIST	L147
23.03	V	IV	2656.868	50.0	0.1	NIST	L147
23.03	V	IV	2667.837	1.0	0.002	NIST	L147
23.03	V	IV	2669.483	10.0	0.02	NIST	L147
23.03	V	IV	2703.933	20.0	0.04	NIST	L147
23.03	V	IV	2716.594	20.0	0.04	NIST	L147
23.03	V	IV	2718.722	2.0	0.004	NIST	L147
23.03	V	IV	2727.78	1.0	0.002	NIST	L147
23.03	V	IV	2740.545	5.0	0.01	NIST	L147
23.03	V	IV	2740.966	5.0	0.01	NIST	L147
23.03	V	IV	2743.523	20.0	0.04	NIST	L147
23.03	V	IV	2751.528	10.0	0.02	NIST	L147
23.03	V	IV	2763.86	15.0	0.03	NIST	L147
