atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
23.04	V	V	199.799	1.0	0.01	NIST	L3917
23.04	V	V	199.955	5.0	0.05	NIST	L3917
23.04	V	V	200.05	5.0	0.05	NIST	L3917
23.04	V	V	200.202	1.0	0.01	NIST	L3917
23.04	V	V	201.235	4.0	0.04	NIST	L3917
23.04	V	V	201.493	1.0	0.01	NIST	L3917
23.04	V	V	201.746	2.0	0.02	NIST	L3917
23.04	V	V	203.194	2.0	0.02	NIST	L3917
23.04	V	V	203.428	5.0	0.05	NIST	L3917
23.04	V	V	207.031	4.0	0.04	NIST	L3917
23.04	V	V	207.291	6.0	0.06	NIST	L3917
23.04	V	V	208.958	10.0	0.1	NIST	L3917
23.04	V	V	209.23	1.0	0.01	NIST	L3917
23.04	V	V	210.568	12.0	0.12	NIST	L3917
23.04	V	V	212.901	7.0	0.07	NIST	L3917
23.04	V	V	213.178	9.0	0.09	NIST	L3917
23.04	V	V	222.533	10.0	0.1	NIST	L3917
23.04	V	V	222.818	13.0	0.13	NIST	L3917
23.04	V	V	222.842	3.0	0.03	NIST	L3917
23.04	V	V	224.913	18.0	0.18	NIST	L3917
23.04	V	V	225.146	13.0	0.13	NIST	L3917
23.04	V	V	225.225	13.0	0.13	NIST	L3917
23.04	V	V	225.465	20.0	0.2	NIST	L3917
23.04	V	V	227.561	10.0	0.1	NIST	L3917
23.04	V	V	227.885	17.0	0.17	NIST	L3917
23.04	V	V	228.301	14.0	0.14	NIST	L3917
23.04	V	V	239.407	16.0	0.16	NIST	L3917
23.04	V	V	239.485	19.0	0.19	NIST	L3917
23.04	V	V	239.765	7.0	0.07	NIST	L3917
23.04	V	V	240.572	1.0	0.01	NIST	L3917
23.04	V	V	240.719	4.0	0.04	NIST	L3917
23.04	V	V	240.933	7.0	0.07	NIST	L3917
23.04	V	V	251.655	20.0	0.2	NIST	L3917
23.04	V	V	252.44	18.0	0.18	NIST	L3917
23.04	V	V	252.838	8.0	0.08	NIST	L3917
23.04	V	V	284.075	2.0	0.02	NIST	L3917
23.04	V	V	284.494	8.0	0.08	NIST	L3917
23.04	V	V	284.581	11.0	0.11	NIST	L3917
23.04	V	V	285.9791	18.0	0.18	NIST	L3917
23.04	V	V	286.49	5.0	0.05	NIST	L3917
23.04	V	V	286.8395	20.0	0.2	NIST	L3917
23.04	V	V	296.724	5.0	0.05	NIST	L3917
23.04	V	V	297.276	2.0	0.02	NIST	L3917
23.04	V	V	301.604	10.0	0.1	NIST	L3917
23.04	V	V	312.394	17.0	0.17	NIST	L3917
23.04	V	V	313.376	14.0	0.14	NIST	L3917
23.04	V	V	313.993	10.0	0.1	NIST	L3917
23.04	V	V	424.782	1.0	0.01	NIST	L3917
23.04	V	V	481.5564	8.0	0.08	NIST	L3917
23.04	V	V	483.0098	35.0	0.35	NIST	L3917
23.04	V	V	484.5108	25.0	0.25	NIST	L3917
23.04	V	V	490.496	4.0	0.04	NIST	L3917
23.04	V	V	491.746	2.0	0.02	NIST	L3917
23.04	V	V	506.429	1.0	0.01	NIST	L3917
23.04	V	V	509.697	2.0	0.02	NIST	L3917
23.04	V	V	643.603	1.0	0.01	NIST	L3917
23.04	V	V	820.859	20.0	0.2	NIST	L3917
23.04	V	V	821.202	1.0	0.01	NIST	L3917
23.04	V	V	822.176	6.0	0.06	NIST	L3917
23.04	V	V	822.668	1.0	0.01	NIST	L3917
23.04	V	V	822.927	3.0	0.03	NIST	L3917
23.04	V	V	825.891	2.0	0.02	NIST	L3917
23.04	V	V	828.791	1.0	0.01	NIST	L3917
23.04	V	V	829.483	30.0	0.3	NIST	L3917
23.04	V	V	897.124	2.0	0.02	NIST	L3917
23.04	V	V	962.031	15.0	0.15	NIST	L3917
23.04	V	V	978.166	10.0	0.1	NIST	L3917
23.04	V	V	979.547	1.0	0.01	NIST	L3917
23.04	V	V	992.33	10.0	0.1	NIST	L3917
23.04	V	V	996.521	5.0	0.05	NIST	L3917
23.04	V	V	1045.711	2.0	0.02	NIST	L3917
23.04	V	V	1092.0	1.0	0.01	NIST	L3917
23.04	V	V	1098.222	2.0	0.02	NIST	L3917
23.04	V	V	1142.737	15.0	0.15	NIST	L3917
23.04	V	V	1143.395	1.0	0.01	NIST	L3917
23.04	V	V	1157.575	25.0	0.25	NIST	L3917
23.04	V	V	1159.516	6.0	0.06	NIST	L3917
23.04	V	V	1188.161	6.0	0.06	NIST	L2284
23.04	V	V	1260.278	1.0	0.01	NIST	L3917
23.04	V	V	1490.107	20.0	0.2	NIST	L3917
23.04	V	V	1499.596	10.0	0.1	NIST	L3917
23.04	V	V	1680.204	100.0	1.0	NIST	L3917
23.04	V	V	1716.725	50.0	0.5	NIST	L3917
23.04	V	V	1720.712	4.0	0.04	NIST	L3917
23.04	V	V	1724.994	15.0	0.15	NIST	L3917
23.04	V	V	1736.182	10.0	0.1	NIST	L3917
23.04	V	V	1792.992	25.0	0.25	NIST	L3917
23.04	V	V	1797.646	6.0	0.06	NIST	L3917
23.04	V	V	1811.425	30.0	0.3	NIST	L3917
23.04	V	V	1910.062	4.0	0.04	NIST	L3917
23.04	V	V	1917.686	1.0	0.01	NIST	L3917
23.04	V	V	1921.915	1.0	0.01	NIST	L3917
23.04	V	V	1929.138	9.0	0.09	NIST	L3917
23.04	V	V	1962.154	1.0	0.01	NIST	L3917
23.04	V	V	2318.95	20.0	0.2	NIST	L3917
23.04	V	V	2326.749	6.0	0.06	NIST	L3917
23.04	V	V	2370.26	3.0	0.03	NIST	L3917
23.04	V	V	2373.458	1.0	0.01	NIST	L3917
23.04	V	V	2577.127	20.0	0.2	NIST	L3917
23.04	V	V	2605.523	4.0	0.04	NIST	L3917
23.04	V	V	2610.098	10.0	0.1	NIST	L3917
23.04	V	V	2740.669	10.0	0.1	NIST	L3917
23.04	V	V	2774.997	15.0	0.15	NIST	L3917
