atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
23.05	V	VI	85.071	1.0	0.0667	NIST	L4197
23.05	V	VI	87.106	3.0	0.2	NIST	L4197
23.05	V	VI	90.7	6.0	0.4	NIST	L4197
23.05	V	VI	97.932	4.0	0.2667	NIST	L4197
23.05	V	VI	98.319	4.0	0.2667	NIST	L4197
23.05	V	VI	117.762	8.0	0.5333	NIST	L4197
23.05	V	VI	118.767	8.0	0.5333	NIST	L4197
23.05	V	VI	128.379	3.0	0.2	NIST	L3622
23.05	V	VI	129.58	4.0	0.2667	NIST	L3622
23.05	V	VI	138.235	8.0	0.5333	NIST	L3622
23.05	V	VI	139.518	9.0	0.6	NIST	L3622
23.05	V	VI	179.33	13.0	0.8667	NIST	L3622
23.05	V	VI	182.05	10.0	0.6667	NIST	L3622
23.05	V	VI	213.044	6.0	0.4	NIST	L3622
23.05	V	VI	213.313	7.0	0.4667	NIST	L3622
23.05	V	VI	213.604	3.0	0.2	NIST	L3622
23.05	V	VI	213.871	8.0	0.5333	NIST	L3622
23.05	V	VI	214.495	2.0	0.1333	NIST	L3622
23.05	V	VI	218.091	10.0	0.6667	NIST	L3622
23.05	V	VI	218.636	9.0	0.6	NIST	L3622
23.05	V	VI	218.994	7.0	0.4667	NIST	L3622
23.05	V	VI	224.5	15.0	1.0	NIST	L3622
23.05	V	VI	226.656	6.0	0.4	NIST	L3622
23.05	V	VI	227.172	5.0	0.3333	NIST	L3622
23.05	V	VI	229.606	1.0	0.0667	NIST	L3622
23.05	V	VI	229.856	1.0	0.0667	NIST	L3622
23.05	V	VI	230.398	1.0	0.0667	NIST	L3622
23.05	V	VI	230.841	4.0	0.2667	NIST	L3622
23.05	V	VI	231.646	1.0	0.0667	NIST	L3622
23.05	V	VI	287.44	11.0	0.7333	NIST	L3622
23.05	V	VI	318.265	2.0	0.1333	NIST	L3622
23.05	V	VI	319.149	1.0	0.0667	NIST	L3622
23.05	V	VI	320.134	3.0	0.2	NIST	L3622
23.05	V	VI	320.915	4.0	0.2667	NIST	L3622
23.05	V	VI	321.81	3.0	0.2	NIST	L3622
23.05	V	VI	323.209	9.0	0.6	NIST	L3622
23.05	V	VI	324.575	3.0	0.2	NIST	L3622
23.05	V	VI	327.322	5.0	0.3333	NIST	L3622
23.05	V	VI	329.81	1.0	0.0667	NIST	L3622
23.05	V	VI	335.831	2.0	0.1333	NIST	L3622
23.05	V	VI	338.392	1.0	0.0667	NIST	L3622
23.05	V	VI	339.187	6.0	0.4	NIST	L3622
23.05	V	VI	340.622	7.0	0.4667	NIST	L3622
23.05	V	VI	340.953	4.0	0.2667	NIST	L3622
23.05	V	VI	343.646	9.0	0.6	NIST	L3622
23.05	V	VI	345.405	11.0	0.7333	NIST	L3622
23.05	V	VI	347.265	8.0	0.5333	NIST	L3622
23.05	V	VI	347.911	10.0	0.6667	NIST	L3622
23.05	V	VI	348.024	4.0	0.2667	NIST	L3622
23.05	V	VI	350.659	3.0	0.2	NIST	L3622
23.05	V	VI	350.781	1.0	0.0667	NIST	L3622
23.05	V	VI	360.25	1.0	0.0667	NIST	L3622
23.05	V	VI	360.741	1.0	0.0667	NIST	L3622
23.05	V	VI	362.717	2.0	0.1333	NIST	L3622
23.05	V	VI	363.153	8.0	0.5333	NIST	L3622
23.05	V	VI	363.285	8.0	0.5333	NIST	L3622
23.05	V	VI	365.154	4.0	0.2667	NIST	L3622
23.05	V	VI	367.543	9.0	0.6	NIST	L3622
23.05	V	VI	367.683	9.0	0.6	NIST	L3622
23.05	V	VI	370.314	2.0	0.1333	NIST	L3622
23.05	V	VI	371.523	3.0	0.2	NIST	L3622
23.05	V	VI	374.747	1.0	0.0667	NIST	L3622
23.05	V	VI	374.851	5.0	0.3333	NIST	L3622
23.05	V	VI	378.081	2.0	0.1333	NIST	L3622
23.05	V	VI	378.687	3.0	0.2	NIST	L3622
23.05	V	VI	382.049	4.0	0.2667	NIST	L3622
23.05	V	VI	382.185	1.0	0.0667	NIST	L3622
23.05	V	VI	414.273	6.0	0.4	NIST	L3622
23.05	V	VI	415.861	7.0	0.4667	NIST	L3622
23.05	V	VI	416.418	4.0	0.2667	NIST	L3622
23.05	V	VI	419.458	8.0	0.5333	NIST	L3622
23.05	V	VI	420.37	5.0	0.3333	NIST	L3622
23.05	V	VI	439.344	10.0	0.6667	NIST	L3622
23.05	V	VI	444.634	9.0	0.6	NIST	L3622
23.05	V	VI	449.795	8.0	0.5333	NIST	L3622
23.05	V	VI	451.89	7.0	0.4667	NIST	L3622
23.05	V	VI	452.66	3.0	0.2	NIST	L3622
23.05	V	VI	458.487	3.0	0.2	NIST	L3622
23.05	V	VI	463.418	6.0	0.4	NIST	L3622
23.05	V	VI	488.12	6.0	0.4	NIST	L3622
23.05	V	VI	488.462	1.0	0.0667	NIST	L3622
23.05	V	VI	494.909	2.0	0.1333	NIST	L3622
23.05	V	VI	495.138	2.0	0.1333	NIST	L3622
23.05	V	VI	495.94	3.0	0.2	NIST	L3622
23.05	V	VI	496.18	4.0	0.2667	NIST	L3622
23.05	V	VI	496.985	1.0	0.0667	NIST	L3622
23.05	V	VI	500.644	3.0	0.2	NIST	L3622
23.05	V	VI	509.26	8.0	0.5333	NIST	L3622
23.05	V	VI	596.947	1.0	0.0667	NIST	L3622
23.05	V	VI	627.627	2.0	0.1333	NIST	L3622
23.05	V	VI	632.084	3.0	0.2	NIST	L3622
23.05	V	VI	640.135	1.0	0.0667	NIST	L3622
23.05	V	VI	936.557	3.0	0.2	NIST	L3622
23.05	V	VI	951.753	2.0	0.1333	NIST	L3622
23.05	V	VI	976.767	1.0	0.0667	NIST	L3622
23.05	V	VI	986.681	1.0	0.0667	NIST	L3622
23.05	V	VI	1004.361	4.0	0.2667	NIST	L3622
23.05	V	VI	1009.758	5.0	0.3333	NIST	L3622
23.05	V	VI	1014.565	4.0	0.2667	NIST	L3622
23.05	V	VI	1016.204	7.0	0.4667	NIST	L3622
23.05	V	VI	1019.249	5.0	0.3333	NIST	L3622
23.05	V	VI	1024.663	4.0	0.2667	NIST	L3622
23.05	V	VI	1029.044	5.0	0.3333	NIST	L3622
23.05	V	VI	1083.917	2.0	0.1333	NIST	L3622
23.05	V	VI	1085.742	1.0	0.0667	NIST	L3622
23.05	V	VI	1104.3	1.0	0.0667	NIST	L3622
23.05	V	VI	1188.159	9.0	0.6	NIST	L3622
23.05	V	VI	1225.178	3.0	0.2	NIST	L3622
23.05	V	VI	1293.483	4.0	0.2667	NIST	L3622
23.05	V	VI	1334.039	1.0	0.0667	NIST	L3622
23.05	V	VI	1361.923	3.0	0.2	NIST	L3622
23.05	V	VI	1380.105	5.0	0.3333	NIST	L3622
23.05	V	VI	1404.376	10.0	0.6667	NIST	L3622
23.05	V	VI	1408.381	3.0	0.2	NIST	L3622
23.05	V	VI	1410.054	3.0	0.2	NIST	L3622
23.05	V	VI	1416.416	5.0	0.3333	NIST	L3622
23.05	V	VI	1423.1	3.0	0.2	NIST	L3622
23.05	V	VI	1425.525	2.0	0.1333	NIST	L3622
23.05	V	VI	1426.335	2.0	0.1333	NIST	L3622
23.05	V	VI	1432.593	2.0	0.1333	NIST	L3622
23.05	V	VI	1433.189	5.0	0.3333	NIST	L3622
23.05	V	VI	1451.517	6.0	0.4	NIST	L3622
23.05	V	VI	1460.991	1.0	0.0667	NIST	L3622
23.05	V	VI	1466.46	7.0	0.4667	NIST	L3622
23.05	V	VI	1512.655	9.0	0.6	NIST	L3622
23.05	V	VI	1515.02	12.0	0.8	NIST	L3622
23.05	V	VI	1516.104	8.0	0.5333	NIST	L3622
23.05	V	VI	1517.931	9.0	0.6	NIST	L3622
23.05	V	VI	1536.373	10.0	0.6667	NIST	L3622
23.05	V	VI	1584.942	10.0	0.6667	NIST	L3622
23.05	V	VI	1590.506	9.0	0.6	NIST	L3622
23.05	V	VI	1629.786	6.0	0.4	NIST	L3622
