atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
74.49	W	L	5.3244	4.0	0.04	NIST	L9064c90
74.49	W	L	5.3414	46.0	0.46	NIST	L9064c90
74.49	W	L	5.3444	100.0	1.0	NIST	L9064c90
74.49	W	L	5.3492	36.0	0.36	NIST	L9064c90
74.49	W	L	5.5035	22.0	0.22	NIST	L9064c90
74.49	W	L	5.5098	75.0	0.75	NIST	L9064c90
74.49	W	L	5.5262	14.0	0.14	NIST	L9064c90
74.49	W	L	5.5327	34.0	0.34	NIST	L9064c90
74.49	W	L	5.5435	26.0	0.26	NIST	L9064c90
74.49	W	L	141.66	70.0	0.7	NIST	L16374
74.49	W	L	153.68	60.0	0.6	NIST	L16374
74.49	W	L	171.06	100.0	1.0	NIST	L16374
74.49	W	L	182.76	30.0	0.3	NIST	L16374
74.49	W	L	186.7	30.0	0.3	NIST	L16374
74.49	W	L	188.8	70.0	0.7	NIST	L16374
74.49	W	L	190.47	40.0	0.4	NIST	L16374
