atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
74.48	W	XLIX	5.0775	8.0	0.04	NIST	L9064c90
74.48	W	XLIX	5.0948	16.0	0.08	NIST	L9064c90
74.48	W	XLIX	5.0981	13.0	0.065	NIST	L9064c90
74.48	W	XLIX	5.4478	21.0	0.105	NIST	L9064c90
74.48	W	XLIX	5.451	100.0	0.5	NIST	L9064c90
74.48	W	XLIX	5.4554	80.0	0.4	NIST	L9064c90
74.48	W	XLIX	5.4576	61.0	0.305	NIST	L9064c90
74.48	W	XLIX	5.4631	16.0	0.08	NIST	L9064c90
74.48	W	XLIX	5.4696	10.0	0.05	NIST	L9064c90
74.48	W	XLIX	5.5937	9.0	0.045	NIST	L9064c90
74.48	W	XLIX	5.6089	36.0	0.18	NIST	L9064c90
74.48	W	XLIX	5.6162	45.0	0.225	NIST	L9064c90
74.48	W	XLIX	5.6279	40.0	0.2	NIST	L9064c90
74.48	W	XLIX	5.6332	33.0	0.165	NIST	L9064c90
74.48	W	XLIX	5.6371	14.0	0.07	NIST	L9064c90
74.48	W	XLIX	27.52	200.0	1.0	NIST	L10257
74.48	W	XLIX	155.11	100.0	0.5	NIST	L16374
74.48	W	XLIX	175.02	30.0	0.15	NIST	L16374
74.48	W	XLIX	188.78	40.0	0.2	NIST	L16374
74.48	W	XLIX	189.88	60.0	0.3	NIST	L16374
