atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
54.01	Xe	II	675.295	3.0	0.0015	NIST	L6925
54.01	Xe	II	677.666	1.0	0.0005	NIST	L6925
54.01	Xe	II	692.588	1.0	0.0005	NIST	L6925
54.01	Xe	II	702.342	2.0	0.001	NIST	L6925
54.01	Xe	II	716.129	2.0	0.001	NIST	L6925
54.01	Xe	II	718.936	3.0	0.0015	NIST	L6925
54.01	Xe	II	720.839	2.0	0.001	NIST	L6925
54.01	Xe	II	724.303	2.0	0.001	NIST	L6925
54.01	Xe	II	732.266	2.0	0.001	NIST	L6925
54.01	Xe	II	740.406	2.0	0.001	NIST	L6925
54.01	Xe	II	750.815	2.0	0.001	NIST	L6925
54.01	Xe	II	773.689	1.0	0.0005	NIST	L6925
54.01	Xe	II	774.572	5.0	0.0025	NIST	L6925
54.01	Xe	II	784.152	4.0	0.002	NIST	L6925
54.01	Xe	II	787.343	5.0	0.0025	NIST	L6925
54.01	Xe	II	803.066	1.0	0.0005	NIST	L6925
54.01	Xe	II	804.504	7.0	0.0035	NIST	L6925
54.01	Xe	II	806.009	4.0	0.002	NIST	L6925
54.01	Xe	II	839.74	5.0	0.0025	NIST	L6925
54.01	Xe	II	842.388	6.0	0.003	NIST	L6925
54.01	Xe	II	854.778	6.0	0.003	NIST	L6925
54.01	Xe	II	858.58	4.0	0.002	NIST	L6925
54.01	Xe	II	871.458	7.0	0.0035	NIST	L6925
54.01	Xe	II	880.802	5.0	0.0025	NIST	L6925
54.01	Xe	II	885.544	3.0	0.0015	NIST	L6925
54.01	Xe	II	887.28	8.0	0.004	NIST	L6925
54.01	Xe	II	912.716	8.0	0.004	NIST	L6925
54.01	Xe	II	925.866	5.0	0.0025	NIST	L6925
54.01	Xe	II	926.741	3.0	0.0015	NIST	L6925
54.01	Xe	II	931.26	5.0	0.0025	NIST	L6925
54.01	Xe	II	939.186	6.0	0.003	NIST	L6925
54.01	Xe	II	943.859	3.0	0.0015	NIST	L6925
54.01	Xe	II	949.544	7.0	0.0035	NIST	L6925
54.01	Xe	II	959.23	7.0	0.0035	NIST	L6925
54.01	Xe	II	972.769	6.0	0.003	NIST	L6925
54.01	Xe	II	976.678	5.0	0.0025	NIST	L6925
54.01	Xe	II	988.555	8.0	0.004	NIST	L6925
54.01	Xe	II	992.165	6.0	0.003	NIST	L6925
54.01	Xe	II	1027.05	5.0	0.0025	NIST	L6925
54.01	Xe	II	1032.438	3.0	0.0015	NIST	L6925
54.01	Xe	II	1032.596	5.0	0.0025	NIST	L6925
54.01	Xe	II	1037.68	6.0	0.003	NIST	L6925
54.01	Xe	II	1041.306	10.0	0.005	NIST	L6925
54.01	Xe	II	1048.12	2.0	0.001	NIST	L6925
54.01	Xe	II	1048.272	8.0	0.004	NIST	L6925
54.01	Xe	II	1051.92	10.0	0.005	NIST	L6925
54.01	Xe	II	1067.088	6.0	0.003	NIST	L6925
54.01	Xe	II	1074.476	12.0	0.006	NIST	L6925
54.01	Xe	II	1083.86	5.0	0.0025	NIST	L6925
54.01	Xe	II	1100.432	10.0	0.005	NIST	L6925
54.01	Xe	II	1158.474	5.0	0.0025	NIST	L6925
54.01	Xe	II	1169.633	2.0	0.001	NIST	L6925
54.01	Xe	II	1183.053	8.0	0.004	NIST	L6925
54.01	Xe	II	1244.756	5.0	0.0025	NIST	L6925
54.01	Xe	II	2021.14	1.0	0.0005	NIST	L7270
54.01	Xe	II	2076.32	1.0	0.0005	NIST	L5583
54.01	Xe	II	2117.21	1.0	0.0005	NIST	L5583
54.01	Xe	II	2120.61	1.0	0.0005	NIST	L5583
54.01	Xe	II	2124.73	2.0	0.001	NIST	L5583
54.01	Xe	II	2128.73	1.0	0.0005	NIST	L5583
54.01	Xe	II	2138.85	1.0	0.0005	NIST	L5583
54.01	Xe	II	2154.9	1.0	0.0005	NIST	L7270
54.01	Xe	II	2166.05	1.0	0.0005	NIST	L5583
54.01	Xe	II	2167.84	1.0	0.0005	NIST	L5583
54.01	Xe	II	2170.4	1.0	0.0005	NIST	L7270
54.01	Xe	II	2171.64	2.0	0.001	NIST	L6991
54.01	Xe	II	2176.23	2.0	0.001	NIST	L5583
54.01	Xe	II	2193.48	1.0	0.0005	NIST	L6991
54.01	Xe	II	2208.24	3.0	0.0015	NIST	L5583
54.01	Xe	II	2214.37	3.0	0.0015	NIST	L5583
54.01	Xe	II	2215.58	2.0	0.001	NIST	L5583
54.01	Xe	II	2222.76	3.0	0.0015	NIST	L5583
54.01	Xe	II	2224.59	2.0	0.001	NIST	L5583
54.01	Xe	II	2225.99	2.0	0.001	NIST	L5583
54.01	Xe	II	2230.79	1.0	0.0005	NIST	L6925
54.01	Xe	II	2232.83	2.0	0.001	NIST	L5583
54.01	Xe	II	2234.99	1.0	0.0005	NIST	L5583
54.01	Xe	II	2235.52	2.0	0.001	NIST	L5583
54.01	Xe	II	2239.79	1.0	0.0005	NIST	L5583
54.01	Xe	II	2241.86	2.0	0.001	NIST	L6925
54.01	Xe	II	2245.61	1.0	0.0005	NIST	L7270
54.01	Xe	II	2247.17	1.0	0.0005	NIST	L7270
54.01	Xe	II	2248.22	1.0	0.0005	NIST	L5583
54.01	Xe	II	2249.86	4.0	0.002	NIST	L6925
54.01	Xe	II	2254.74	1.0	0.0005	NIST	L7270
54.01	Xe	II	2256.56	1.0	0.0005	NIST	L6925
54.01	Xe	II	2256.82	2.0	0.001	NIST	L6991
54.01	Xe	II	2259.22	1.0	0.0005	NIST	L6925
54.01	Xe	II	2262.95	2.0	0.001	NIST	L6925
54.01	Xe	II	2264.2	2.0	0.001	NIST	L6925
54.01	Xe	II	2264.99	3.0	0.0015	NIST	L7270
54.01	Xe	II	2265.62	3.0	0.0015	NIST	L6925
54.01	Xe	II	2265.94	2.0	0.001	NIST	L6925
54.01	Xe	II	2266.8	3.0	0.0015	NIST	L6925
54.01	Xe	II	2268.72	1.0	0.0005	NIST	L6925
54.01	Xe	II	2273.18	1.0	0.0005	NIST	L6991
54.01	Xe	II	2273.37	3.0	0.0015	NIST	L7270
54.01	Xe	II	2283.14	5.0	0.0025	NIST	L5583
