atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
54.07	Xe	VIII	123.243	20.0	0.04	NIST	L11883
54.07	Xe	VIII	123.265	15.0	0.03	NIST	L11883
54.07	Xe	VIII	166.674	15.0	0.03	NIST	L6205
54.07	Xe	VIII	170.856	100.0	0.2	NIST	L6205
54.07	Xe	VIII	174.147	5.0	0.01	NIST	L6205
54.07	Xe	VIII	175.872	3.0	0.006	NIST	L6205
54.07	Xe	VIII	177.258	35.0	0.07	NIST	L6205
54.07	Xe	VIII	177.707	50.0	0.1	NIST	L6205
54.07	Xe	VIII	179.656	30.0	0.06	NIST	L6205
54.07	Xe	VIII	180.142	5.0	0.01	NIST	L6205
54.07	Xe	VIII	181.67	10.0	0.02	NIST	L6205
54.07	Xe	VIII	184.655	10.0	0.02	NIST	L6205
54.07	Xe	VIII	221.841	15.0	0.03	NIST	L5438
54.07	Xe	VIII	222.79	40.0	0.08	NIST	L4900
54.07	Xe	VIII	225.541	10.0	0.02	NIST	L5438
54.07	Xe	VIII	232.426	1.0	0.002	NIST	L5438
54.07	Xe	VIII	255.32	40.0	0.08	NIST	L4900
54.07	Xe	VIII	255.68	50.0	0.1	NIST	L4900
54.07	Xe	VIII	327.833	2.0	0.004	NIST	L5438
54.07	Xe	VIII	328.43	5.0	0.01	NIST	L5438
54.07	Xe	VIII	358.384	4.0	0.008	NIST	L5438
54.07	Xe	VIII	383.99	70.0	0.14	NIST	L4900
54.07	Xe	VIII	517.007	50.0	0.1	NIST	L5438
54.07	Xe	VIII	532.791	1.0	0.002	NIST	L5438
54.07	Xe	VIII	540.04	50.0	0.1	NIST	L4900
54.07	Xe	VIII	541.29	10.0	0.02	NIST	L4900
54.07	Xe	VIII	562.547	50.0	0.1	NIST	L5438
54.07	Xe	VIII	571.894	5.0	0.01	NIST	L5438
54.07	Xe	VIII	724.96	10.0	0.02	NIST	L4900
54.07	Xe	VIII	740.458	500.0	1.0	NIST	L5438
54.07	Xe	VIII	858.607	500.0	1.0	NIST	L5438
