atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
54.09	Xe	X	110.133	15.0	0.1	NIST	L11883
54.09	Xe	X	112.714	3.0	0.02	NIST	L11883
54.09	Xe	X	113.438	15.0	0.1	NIST	L11883
54.09	Xe	X	114.312	30.0	0.2	NIST	L11883
54.09	Xe	X	114.88	80.0	0.5333	NIST	L11883
54.09	Xe	X	115.632	30.0	0.2	NIST	L11883
54.09	Xe	X	115.661	60.0	0.4	NIST	L11883
54.09	Xe	X	116.541	12.0	0.08	NIST	L11883
54.09	Xe	X	133.39	7.0	0.0467	NIST	L11883
54.09	Xe	X	134.189	6.0	0.04	NIST	L11883
54.09	Xe	X	135.729	10.0	0.0667	NIST	L11883
54.09	Xe	X	137.272	10.0	0.0667	NIST	L11883
54.09	Xe	X	138.529	3.0	0.02	NIST	L11883
54.09	Xe	X	138.816	7.0	0.0467	NIST	L11883
54.09	Xe	X	140.126	4.0	0.0267	NIST	L11883
54.09	Xe	X	141.032	5.0	0.0333	NIST	L11883
54.09	Xe	X	141.094	9.0	0.06	NIST	L11883
54.09	Xe	X	141.545	6.0	0.04	NIST	L11883
54.09	Xe	X	142.046	25.0	0.1667	NIST	L11883
54.09	Xe	X	142.502	3.0	0.02	NIST	L11883
54.09	Xe	X	143.381	8.0	0.0533	NIST	L11883
54.09	Xe	X	143.478	10.0	0.0667	NIST	L11883
54.09	Xe	X	143.488	7.0	0.0467	NIST	L11883
54.09	Xe	X	143.954	2.0	0.0133	NIST	L11883
54.09	Xe	X	144.079	2.0	0.0133	NIST	L11883
54.09	Xe	X	144.655	20.0	0.1333	NIST	L11883
54.09	Xe	X	144.771	7.0	0.0467	NIST	L11883
54.09	Xe	X	145.096	5.0	0.0333	NIST	L11883
54.09	Xe	X	145.15	35.0	0.2333	NIST	L11883
54.09	Xe	X	145.325	25.0	0.1667	NIST	L11883
54.09	Xe	X	145.397	4.0	0.0267	NIST	L11883
54.09	Xe	X	145.715	4.0	0.0267	NIST	L11883
54.09	Xe	X	145.788	3.0	0.02	NIST	L11883
54.09	Xe	X	145.983	55.0	0.3667	NIST	L11883
54.09	Xe	X	146.107	17.0	0.1133	NIST	L11883
54.09	Xe	X	146.148	8.0	0.0533	NIST	L11883
54.09	Xe	X	146.413	15.0	0.1	NIST	L11883
54.09	Xe	X	146.448	5.0	0.0333	NIST	L11883
54.09	Xe	X	146.532	4.0	0.0267	NIST	L11883
54.09	Xe	X	146.622	5.0	0.0333	NIST	L11883
54.09	Xe	X	147.005	2.0	0.0133	NIST	L11883
54.09	Xe	X	147.381	8.0	0.0533	NIST	L11883
54.09	Xe	X	147.418	6.0	0.04	NIST	L11883
54.09	Xe	X	147.618	72.0	0.48	NIST	L11883
54.09	Xe	X	147.64	34.0	0.2267	NIST	L11883
54.09	Xe	X	147.734	6.0	0.04	NIST	L11883
54.09	Xe	X	147.956	100.0	0.6667	NIST	L11883
54.09	Xe	X	148.238	10.0	0.0667	NIST	L11883
54.09	Xe	X	148.333	30.0	0.2	NIST	L11883
54.09	Xe	X	148.359	52.0	0.3467	NIST	L11883
54.09	Xe	X	148.641	6.0	0.04	NIST	L11883
54.09	Xe	X	148.709	23.0	0.1533	NIST	L11883
54.09	Xe	X	148.942	44.0	0.2933	NIST	L11883
54.09	Xe	X	149.02	75.0	0.5	NIST	L11883
54.09	Xe	X	149.358	80.0	0.5333	NIST	L11883
54.09	Xe	X	149.583	42.0	0.28	NIST	L11883
54.09	Xe	X	149.682	4.0	0.0267	NIST	L11883
54.09	Xe	X	150.089	150.0	1.0	NIST	L11883
54.09	Xe	X	150.124	95.0	0.6333	NIST	L11883
54.09	Xe	X	150.216	5.0	0.0333	NIST	L11883
54.09	Xe	X	150.444	9.0	0.06	NIST	L11883
54.09	Xe	X	150.544	90.0	0.6	NIST	L11883
54.09	Xe	X	151.02	10.0	0.0667	NIST	L11883
54.09	Xe	X	151.141	9.0	0.06	NIST	L11883
54.09	Xe	X	151.291	6.0	0.04	NIST	L11883
54.09	Xe	X	151.356	4.0	0.0267	NIST	L11883
54.09	Xe	X	151.747	80.0	0.5333	NIST	L11883
54.09	Xe	X	151.762	27.0	0.18	NIST	L11883
54.09	Xe	X	152.058	78.0	0.52	NIST	L11883
54.09	Xe	X	152.832	6.0	0.04	NIST	L11883
54.09	Xe	X	152.849	5.0	0.0333	NIST	L11883
54.09	Xe	X	154.433	6.0	0.04	NIST	L11883
54.09	Xe	X	154.588	8.0	0.0533	NIST	L11883
54.09	Xe	X	154.68	24.0	0.16	NIST	L11883
54.09	Xe	X	154.935	15.0	0.1	NIST	L11883
54.09	Xe	X	155.248	4.0	0.0267	NIST	L11883
54.09	Xe	X	156.3	3.0	0.02	NIST	L11883
54.09	Xe	X	156.857	5.0	0.0333	NIST	L11883
54.09	Xe	X	158.924	7.0	0.0467	NIST	L11883
54.09	Xe	X	158.972	3.0	0.02	NIST	L11883
54.09	Xe	X	159.388	10.0	0.0667	NIST	L11883
54.09	Xe	X	163.262	3.0	0.02	NIST	L11883
