atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
54.10	Xe	XI	105.699	14.0	0.022	NIST	L12003
54.10	Xe	XI	106.125	52.0	0.0819	NIST	L12003
54.10	Xe	XI	109.027	276.0	0.4346	NIST	L12003
54.10	Xe	XI	109.093	314.0	0.4945	NIST	L12003
54.10	Xe	XI	109.339	217.0	0.3417	NIST	L12003
54.10	Xe	XI	109.878	286.0	0.4504	NIST	L12003
54.10	Xe	XI	110.026	121.0	0.1906	NIST	L12003
54.10	Xe	XI	110.531	263.0	0.4142	NIST	L12003
54.10	Xe	XI	110.889	107.0	0.1685	NIST	L12003
54.10	Xe	XI	110.998	140.0	0.2205	NIST	L12003
54.10	Xe	XI	111.174	176.0	0.2772	NIST	L12003
54.10	Xe	XI	111.268	148.0	0.2331	NIST	L12003
54.10	Xe	XI	111.29	164.0	0.2583	NIST	L12003
54.10	Xe	XI	111.384	635.0	1.0	NIST	L12003
54.10	Xe	XI	111.435	559.0	0.8803	NIST	L12003
54.10	Xe	XI	111.504	148.0	0.2331	NIST	L12003
54.10	Xe	XI	111.552	169.0	0.2661	NIST	L12003
54.10	Xe	XI	111.622	577.0	0.9087	NIST	L12003
54.10	Xe	XI	111.654	447.0	0.7039	NIST	L12003
54.10	Xe	XI	111.706	534.0	0.8409	NIST	L12003
54.10	Xe	XI	111.739	467.0	0.7354	NIST	L12003
54.10	Xe	XI	111.785	387.0	0.6094	NIST	L12003
54.10	Xe	XI	111.834	85.0	0.1339	NIST	L12003
54.10	Xe	XI	111.954	161.0	0.2535	NIST	L12003
54.10	Xe	XI	112.006	192.0	0.3024	NIST	L12003
54.10	Xe	XI	112.045	200.0	0.315	NIST	L12003
54.10	Xe	XI	112.055	626.0	0.9858	NIST	L12003
54.10	Xe	XI	112.089	388.0	0.611	NIST	L12003
54.10	Xe	XI	112.373	56.0	0.0882	NIST	L12003
54.10	Xe	XI	112.431	139.0	0.2189	NIST	L12003
54.10	Xe	XI	112.713	143.0	0.2252	NIST	L12003
54.10	Xe	XI	112.877	52.0	0.0819	NIST	L12003
54.10	Xe	XI	113.021	420.0	0.6614	NIST	L12003
54.10	Xe	XI	113.366	35.0	0.0551	NIST	L12003
54.10	Xe	XI	113.731	74.0	0.1165	NIST	L12003
54.10	Xe	XI	114.02	131.0	0.2063	NIST	L12003
54.10	Xe	XI	114.713	37.0	0.0583	NIST	L12003
54.10	Xe	XI	116.342	60.0	0.0945	NIST	L12003
54.10	Xe	XI	119.291	20.0	0.0315	NIST	L12003
54.10	Xe	XI	122.902	41.0	0.0646	NIST	L12003
54.10	Xe	XI	126.36	11.0	0.0173	NIST	L12003
54.10	Xe	XI	127.006	6.0	0.0094	NIST	L12003
54.10	Xe	XI	127.227	12.0	0.0189	NIST	L12003
