atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
70.02	Yb	III	968.46	5.0	0.0013	NIST	L7342
70.02	Yb	III	973.16	20.0	0.005	NIST	L7342
70.02	Yb	III	994.56	10.0	0.0025	NIST	L7342
70.02	Yb	III	1560.66	10.0	0.0025	NIST	L7342
70.02	Yb	III	1561.42	80.0	0.02	NIST	L7342
70.02	Yb	III	1669.6	30.0	0.0075	NIST	L7342
70.02	Yb	III	1670.78	50.0	0.0125	NIST	L7342
70.02	Yb	III	1719.82	50.0	0.0125	NIST	L7342
70.02	Yb	III	1739.18	60.0	0.015	NIST	L7342
70.02	Yb	III	1762.8	70.0	0.0175	NIST	L7342
70.02	Yb	III	1765.21	80.0	0.02	NIST	L7342
70.02	Yb	III	1775.29	65.0	0.0163	NIST	L7342
70.02	Yb	III	1779.74	70.0	0.0175	NIST	L7342
70.02	Yb	III	1781.31	70.0	0.0175	NIST	L7342
70.02	Yb	III	1793.7	20.0	0.005	NIST	L7342
70.02	Yb	III	1798.85	60.0	0.015	NIST	L7342
70.02	Yb	III	1810.88	65.0	0.0163	NIST	L7342
70.02	Yb	III	1826.41	60.0	0.015	NIST	L7342
70.02	Yb	III	1826.77	20.0	0.005	NIST	L7342
70.02	Yb	III	1838.01	30.0	0.0075	NIST	L7342
70.02	Yb	III	1847.3	30.0	0.0075	NIST	L7342
70.02	Yb	III	1849.24	30.0	0.0075	NIST	L7342
70.02	Yb	III	1849.42	10.0	0.0025	NIST	L7342
70.02	Yb	III	1852.36	75.0	0.0187	NIST	L7342
70.02	Yb	III	1852.94	75.0	0.0187	NIST	L7342
70.02	Yb	III	1854.8	90.0	0.0225	NIST	L7342
70.02	Yb	III	1857.16	80.0	0.02	NIST	L7342
70.02	Yb	III	1863.32	100.0	0.025	NIST	L7342
70.02	Yb	III	1864.85	5.0	0.0013	NIST	L7342
70.02	Yb	III	1867.23	10.0	0.0025	NIST	L7342
70.02	Yb	III	1867.63	10.0	0.0025	NIST	L7342
70.02	Yb	III	1868.19	10.0	0.0025	NIST	L7342
