atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
70.03	Yb	IV	828.96	200.0	0.01	NIST	L4317
70.03	Yb	IV	870.35	200.0	0.01	NIST	L4317
70.03	Yb	IV	902.46	300.0	0.015	NIST	L4317
70.03	Yb	IV	927.01	300.0	0.015	NIST	L4317
70.03	Yb	IV	936.22	300.0	0.015	NIST	L4317
70.03	Yb	IV	943.04	400.0	0.02	NIST	L4317
70.03	Yb	IV	946.2	400.0	0.02	NIST	L4317
70.03	Yb	IV	975.21	200.0	0.01	NIST	L4317
70.03	Yb	IV	1050.24	1000.0	0.05	NIST	L4317
70.03	Yb	IV	1054.46	1000.0	0.05	NIST	L4317
70.03	Yb	IV	1092.51	400.0	0.02	NIST	L4317
70.03	Yb	IV	1109.96	200.0	0.01	NIST	L4317
70.03	Yb	IV	1110.55	200.0	0.01	NIST	L4317
70.03	Yb	IV	1134.43	5000.0	0.25	NIST	L4317
70.03	Yb	IV	1136.24	300.0	0.015	NIST	L4317
70.03	Yb	IV	1166.01	500.0	0.025	NIST	L4317
70.03	Yb	IV	1185.58	600.0	0.03	NIST	L4317
70.03	Yb	IV	1290.24	200.0	0.01	NIST	L4317
70.03	Yb	IV	1305.58	600.0	0.03	NIST	L4317
70.03	Yb	IV	1316.04	900.0	0.045	NIST	L4317
70.03	Yb	IV	1326.32	200.0	0.01	NIST	L4317
70.03	Yb	IV	1326.36	800.0	0.04	NIST	L4317
70.03	Yb	IV	1340.06	200.0	0.01	NIST	L4317
70.03	Yb	IV	1345.36	300.0	0.015	NIST	L4317
70.03	Yb	IV	1350.26	900.0	0.045	NIST	L4317
70.03	Yb	IV	1353.43	200.0	0.01	NIST	L4317
70.03	Yb	IV	1356.15	400.0	0.02	NIST	L4317
70.03	Yb	IV	1361.75	200.0	0.01	NIST	L4317
70.03	Yb	IV	1365.88	300.0	0.015	NIST	L4317
70.03	Yb	IV	1369.72	300.0	0.015	NIST	L4317
70.03	Yb	IV	1375.42	400.0	0.02	NIST	L4317
70.03	Yb	IV	1376.66	300.0	0.015	NIST	L4317
70.03	Yb	IV	1384.41	200.0	0.01	NIST	L4317
70.03	Yb	IV	1393.93	250.0	0.0125	NIST	L4317
70.03	Yb	IV	1398.77	350.0	0.0175	NIST	L4317
70.03	Yb	IV	1407.05	400.0	0.02	NIST	L4317
70.03	Yb	IV	1413.14	300.0	0.015	NIST	L4317
70.03	Yb	IV	1416.15	400.0	0.02	NIST	L4317
70.03	Yb	IV	1417.72	400.0	0.02	NIST	L4317
70.03	Yb	IV	1423.99	200.0	0.01	NIST	L4317
70.03	Yb	IV	1430.29	300.0	0.015	NIST	L4317
70.03	Yb	IV	1440.61	200.0	0.01	NIST	L4317
70.03	Yb	IV	1477.92	400.0	0.02	NIST	L4317
70.03	Yb	IV	1491.57	300.0	0.015	NIST	L4317
70.03	Yb	IV	1765.03	400.0	0.02	NIST	L4317
70.03	Yb	IV	1776.18	200.0	0.01	NIST	L4317
70.03	Yb	IV	1778.2	200.0	0.01	NIST	L4317
70.03	Yb	IV	1779.34	200.0	0.01	NIST	L4317
70.03	Yb	IV	1789.71	300.0	0.015	NIST	L4317
70.03	Yb	IV	1791.06	800.0	0.04	NIST	L4317
70.03	Yb	IV	1801.67	200.0	0.01	NIST	L4317
70.03	Yb	IV	1809.63	250.0	0.0125	NIST	L4317
70.03	Yb	IV	1813.84	600.0	0.03	NIST	L4317
70.03	Yb	IV	1816.07	400.0	0.02	NIST	L4317
70.03	Yb	IV	1817.58	250.0	0.0125	NIST	L4317
70.03	Yb	IV	1819.02	300.0	0.015	NIST	L4317
