atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
30.00	Zn	I	530.28	15.0	0.0	NIST	L4256
30.00	Zn	I	530.57	15.0	0.0	NIST	L4256
30.00	Zn	I	531.0	15.0	0.0	NIST	L4256
30.00	Zn	I	531.55	2.0	0.0	NIST	L4256
30.00	Zn	I	532.31	2.0	0.0	NIST	L4256
30.00	Zn	I	533.01	70.0	0.0	NIST	L4256
30.00	Zn	I	533.33	2.0	0.0	NIST	L4256
30.00	Zn	I	534.37	2.0	0.0	NIST	L4256
30.00	Zn	I	534.96	2.0	0.0	NIST	L4256
30.00	Zn	I	536.73	2.0	0.0	NIST	L4256
30.00	Zn	I	537.35	2.0	0.0	NIST	L4256
30.00	Zn	I	539.92	2.0	0.0	NIST	L4256
30.00	Zn	I	541.57	2.0	0.0	NIST	L4256
30.00	Zn	I	546.37	3.0	0.0	NIST	L4256
30.00	Zn	I	548.7	2.0	0.0	NIST	L4256
30.00	Zn	I	560.39	4.0	0.0	NIST	L4256
30.00	Zn	I	564.81	3.0	0.0	NIST	L4256
30.00	Zn	I	600.89	7.0	0.0	NIST	L4256
30.00	Zn	I	613.6	500.0	0.0	NIST	L4256
30.00	Zn	I	614.68	100.0	0.0	NIST	L4256
30.00	Zn	I	616.26	100.0	0.0	NIST	L4256
30.00	Zn	I	618.6	110.0	0.0	NIST	L4256
30.00	Zn	I	622.01	600.0	0.0	NIST	L4256
30.00	Zn	I	626.91	1200.0	0.0	NIST	L4256
30.00	Zn	I	713.969	400.0	0.0	NIST	L6852
30.00	Zn	I	713.992	400.0	0.0	NIST	L6852
30.00	Zn	I	715.439	400.0	0.0	NIST	L6852
30.00	Zn	I	717.418	900.0	0.0	NIST	L6852
30.00	Zn	I	717.487	900.0	0.0	NIST	L6852
30.00	Zn	I	720.429	1900.0	0.0	NIST	L6852
30.00	Zn	I	725.21	2000.0	0.0	NIST	L6852
30.00	Zn	I	728.126	500.0	0.0	NIST	L6852
30.00	Zn	I	729.61	1000.0	0.0	NIST	L6852
30.00	Zn	I	731.708	1000.0	0.0	NIST	L6852
30.00	Zn	I	733.812	8000.0	0.0001	NIST	L6852
30.00	Zn	I	734.879	2200.0	0.0	NIST	L6852
30.00	Zn	I	739.823	5000.0	0.0001	NIST	L6852
30.00	Zn	I	745.986	600.0	0.0	NIST	L6852
30.00	Zn	I	748.366	13000.0	0.0002	NIST	L6852
30.00	Zn	I	749.981	1000.0	0.0	NIST	L6852
30.00	Zn	I	750.696	8000.0	0.0001	NIST	L6852
30.00	Zn	I	765.51	19000.0	0.0002	NIST	L400
30.00	Zn	I	791.998	14000.0	0.0002	NIST	L400
30.00	Zn	I	794.07	40000.0	0.0005	NIST	L400
30.00	Zn	I	801.53	7000.0	0.0001	NIST	L4256
30.00	Zn	I	801.82	900.0	0.0	NIST	L4256
30.00	Zn	I	802.17	900.0	0.0	NIST	L4256
30.00	Zn	I	802.6	900.0	0.0	NIST	L4256
30.00	Zn	I	803.12	900.0	0.0	NIST	L4256
