atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
40.02	Zr	III	631.571	50.0	0.0	NIST	L9267
40.02	Zr	III	634.213	120.0	0.0	NIST	L9267
40.02	Zr	III	671.487	150.0	0.0	NIST	L9267
40.02	Zr	III	683.046	20.0	0.0	NIST	L9267
40.02	Zr	III	686.244	10.0	0.0	NIST	L9267
40.02	Zr	III	686.403	100.0	0.0	NIST	L9267
40.02	Zr	III	687.574	1500.0	0.0001	NIST	L9267
40.02	Zr	III	687.922	400.0	0.0	NIST	L9267
40.02	Zr	III	689.068	450.0	0.0	NIST	L9267
40.02	Zr	III	689.629	20.0	0.0	NIST	L9267
40.02	Zr	III	690.052	10.0	0.0	NIST	L9267
40.02	Zr	III	690.364	3000.0	0.0002	NIST	L9267
40.02	Zr	III	691.166	150.0	0.0	NIST	L9267
40.02	Zr	III	691.387	250.0	0.0	NIST	L9267
40.02	Zr	III	692.0	180.0	0.0	NIST	L9267
40.02	Zr	III	694.645	50.0	0.0	NIST	L9267
40.02	Zr	III	695.034	100.0	0.0	NIST	L9267
40.02	Zr	III	695.242	150.0	0.0	NIST	L9267
40.02	Zr	III	696.851	30.0	0.0	NIST	L9267
40.02	Zr	III	697.674	80.0	0.0	NIST	L9267
40.02	Zr	III	708.359	100.0	0.0	NIST	L9267
40.02	Zr	III	710.938	600.0	0.0	NIST	L9267
40.02	Zr	III	715.477	80.0	0.0	NIST	L9267
40.02	Zr	III	716.216	60.0	0.0	NIST	L9267
40.02	Zr	III	720.082	10.0	0.0	NIST	L9267
40.02	Zr	III	720.433	70.0	0.0	NIST	L9267
40.02	Zr	III	723.104	30.0	0.0	NIST	L9267
40.02	Zr	III	723.546	450.0	0.0	NIST	L9267
40.02	Zr	III	724.249	500.0	0.0	NIST	L9267
40.02	Zr	III	724.289	120.0	0.0	NIST	L9267
40.02	Zr	III	724.364	400.0	0.0	NIST	L9267
40.02	Zr	III	726.938	30.0	0.0	NIST	L9267
40.02	Zr	III	728.958	30.0	0.0	NIST	L9267
40.02	Zr	III	731.074	600.0	0.0	NIST	L9267
40.02	Zr	III	731.522	300.0	0.0	NIST	L9267
40.02	Zr	III	732.987	800.0	0.0001	NIST	L9267
40.02	Zr	III	733.234	10.0	0.0	NIST	L9267
40.02	Zr	III	736.378	30.0	0.0	NIST	L9267
40.02	Zr	III	736.619	1000.0	0.0001	NIST	L9267
40.02	Zr	III	736.932	40.0	0.0	NIST	L9267
40.02	Zr	III	744.528	40.0	0.0	NIST	L9267
40.02	Zr	III	747.557	50.0	0.0	NIST	L9267
40.02	Zr	III	751.129	150.0	0.0	NIST	L9267
40.02	Zr	III	762.862	750.0	0.0001	NIST	L9267
40.02	Zr	III	805.986	80.0	0.0	NIST	L9267
40.02	Zr	III	810.757	400.0	0.0	NIST	L9267
40.02	Zr	III	810.966	400.0	0.0	NIST	L9267
40.02	Zr	III	814.84	650.0	0.0	NIST	L9267
40.02	Zr	III	815.474	250.0	0.0	NIST	L9267
40.02	Zr	III	816.461	450.0	0.0	NIST	L9267
40.02	Zr	III	819.078	40.0	0.0	NIST	L9267
40.02	Zr	III	819.534	7000.0	0.0005	NIST	L9267
40.02	Zr	III	820.155	10000.0	0.0007	NIST	L9267
40.02	Zr	III	820.861	600.0	0.0	NIST	L9267
40.02	Zr	III	823.653	15000.0	0.001	NIST	L9267
40.02	Zr	III	824.14	3000.0	0.0002	NIST	L9267
40.02	Zr	III	825.605	2000.0	0.0001	NIST	L9267
40.02	Zr	III	825.777	100.0	0.0	NIST	L9267
40.02	Zr	III	827.855	3000.0	0.0002	NIST	L9267
40.02	Zr	III	829.194	2000.0	0.0001	NIST	L9267
40.02	Zr	III	829.448	5000.0	0.0003	NIST	L9267
40.02	Zr	III	832.555	3000.0	0.0002	NIST	L9267
40.02	Zr	III	833.452	2000.0	0.0001	NIST	L9267
40.02	Zr	III	834.159	250.0	0.0	NIST	L9267
40.02	Zr	III	834.768	5000.0	0.0003	NIST	L9267
40.02	Zr	III	835.811	350.0	0.0	NIST	L9267
40.02	Zr	III	836.57	2000.0	0.0001	NIST	L9267
40.02	Zr	III	838.17	100.0	0.0	NIST	L9267
40.02	Zr	III	838.259	180.0	0.0	NIST	L9267
40.02	Zr	III	839.078	250.0	0.0	NIST	L9267
40.02	Zr	III	839.525	700.0	0.0	NIST	L9267
40.02	Zr	III	840.735	20.0	0.0	NIST	L9267
40.02	Zr	III	841.911	10.0	0.0	NIST	L9267
40.02	Zr	III	843.952	180.0	0.0	NIST	L9267
40.02	Zr	III	845.239	300.0	0.0	NIST	L9267
40.02	Zr	III	845.864	1500.0	0.0001	NIST	L9267
40.02	Zr	III	846.505	60.0	0.0	NIST	L9267
40.02	Zr	III	847.449	7.0	0.0	NIST	L9267
40.02	Zr	III	848.889	600.0	0.0	NIST	L9267
40.02	Zr	III	849.895	60.0	0.0	NIST	L9267
40.02	Zr	III	850.001	600.0	0.0	NIST	L9267
40.02	Zr	III	850.583	3000.0	0.0002	NIST	L9267
40.02	Zr	III	850.784	800.0	0.0001	NIST	L9267
40.02	Zr	III	852.06	500.0	0.0	NIST	L9267
40.02	Zr	III	855.208	45.0	0.0	NIST	L9267
40.02	Zr	III	857.461	150.0	0.0	NIST	L9267
40.02	Zr	III	858.31	1000.0	0.0001	NIST	L9267
40.02	Zr	III	859.404	1400.0	0.0001	NIST	L9267
40.02	Zr	III	859.516	2000.0	0.0001	NIST	L9267
40.02	Zr	III	860.015	400.0	0.0	NIST	L9267
40.02	Zr	III	863.206	1000.0	0.0001	NIST	L9267
40.02	Zr	III	864.837	2000.0	0.0001	NIST	L9267
40.02	Zr	III	867.47	1500.0	0.0001	NIST	L9267
40.02	Zr	III	868.612	2000.0	0.0001	NIST	L9267
40.02	Zr	III	868.976	1800.0	0.0001	NIST	L9267
40.02	Zr	III	869.184	30.0	0.0	NIST	L9267
40.02	Zr	III	869.458	1000.0	0.0001	NIST	L9267
40.02	Zr	III	870.939	500.0	0.0	NIST	L9267
40.02	Zr	III	872.736	1500.0	0.0001	NIST	L9267
40.02	Zr	III	873.593	1500.0	0.0001	NIST	L9267
40.02	Zr	III	874.215	6000.0	0.0004	NIST	L9267
40.02	Zr	III	879.034	100.0	0.0	NIST	L9267
40.02	Zr	III	882.756	90.0	0.0	NIST	L9267
40.02	Zr	III	883.545	15.0	0.0	NIST	L9267
40.02	Zr	III	884.123	120.0	0.0	NIST	L9267
40.02	Zr	III	885.621	150.0	0.0	NIST	L9267
40.02	Zr	III	890.796	150.0	0.0	NIST	L9267
40.02	Zr	III	890.988	20.0	0.0	NIST	L9267
40.02	Zr	III	892.507	35.0	0.0	NIST	L9267
40.02	Zr	III	893.226	130.0	0.0	NIST	L9267
40.02	Zr	III	896.974	30.0	0.0	NIST	L9267
40.02	Zr	III	901.149	45.0	0.0	NIST	L9267
40.02	Zr	III	905.089	120.0	0.0	NIST	L9267
40.02	Zr	III	907.198	1000.0	0.0001	NIST	L9267
40.02	Zr	III	907.565	350.0	0.0	NIST	L9267
40.02	Zr	III	909.083	50.0	0.0	NIST	L9267
40.02	Zr	III	909.329	1000.0	0.0001	NIST	L9267
40.02	Zr	III	911.214	5.0	0.0	NIST	L9267
40.02	Zr	III	911.27	40.0	0.0	NIST	L9267
40.02	Zr	III	912.288	180.0	0.0	NIST	L9267
40.02	Zr	III	913.461	8.0	0.0	NIST	L9267
40.02	Zr	III	915.124	900.0	0.0001	NIST	L9267
40.02	Zr	III	918.056	2000.0	0.0001	NIST	L9267
40.02	Zr	III	919.574	2300.0	0.0002	NIST	L9267
40.02	Zr	III	927.657	100.0	0.0	NIST	L9267
40.02	Zr	III	972.174	1800.0	0.0001	NIST	L9267
40.02	Zr	III	982.579	300.0	0.0	NIST	L9267
40.02	Zr	III	982.85	6.0	0.0	NIST	L9267
40.02	Zr	III	995.889	4.0	0.0	NIST	L9267
40.02	Zr	III	997.812	20.0	0.0	NIST	L9267
40.02	Zr	III	999.55	180.0	0.0	NIST	L9267
40.02	Zr	III	999.917	70.0	0.0	NIST	L9267
40.02	Zr	III	1000.718	180.0	0.0	NIST	L9267
40.02	Zr	III	1004.593	10.0	0.0	NIST	L9267
40.02	Zr	III	1005.138	400.0	0.0	NIST	L9267
40.02	Zr	III	1006.039	70.0	0.0	NIST	L9267
40.02	Zr	III	1007.277	25.0	0.0	NIST	L9267
40.02	Zr	III	1007.957	40.0	0.0	NIST	L9267
40.02	Zr	III	1011.151	90.0	0.0	NIST	L9267
40.02	Zr	III	1012.079	100.0	0.0	NIST	L9267
40.02	Zr	III	1017.905	40.0	0.0	NIST	L9267
40.02	Zr	III	1030.639	400.0	0.0	NIST	L9267
40.02	Zr	III	1030.719	200.0	0.0	NIST	L9267
40.02	Zr	III	1049.79	1200.0	0.0001	NIST	L9267
40.02	Zr	III	1066.323	75.0	0.0	NIST	L9267
40.02	Zr	III	1075.041	2500.0	0.0002	NIST	L9267
40.02	Zr	III	1080.572	400.0	0.0	NIST	L9267
40.02	Zr	III	1112.053	60.0	0.0	NIST	L9267
40.02	Zr	III	1187.997	25.0	0.0	NIST	L9267
40.02	Zr	III	1246.044	10.0	0.0	NIST	L9267
40.02	Zr	III	1276.588	200.0	0.0	NIST	L9267
40.02	Zr	III	1285.591	5.0	0.0	NIST	L9267
40.02	Zr	III	1334.204	5.0	0.0	NIST	L9267
40.02	Zr	III	1337.177	4000.0	0.0003	NIST	L9267
40.02	Zr	III	1356.95	40000.0	0.0027	NIST	L9267
40.02	Zr	III	1369.063	35.0	0.0	NIST	L9267
40.02	Zr	III	1371.517	800.0	0.0001	NIST	L9267
40.02	Zr	III	1378.874	200.0	0.0	NIST	L9267
40.02	Zr	III	1385.762	300.0	0.0	NIST	L9267
40.02	Zr	III	1403.483	1500.0	0.0001	NIST	L9267
40.02	Zr	III	1403.745	500.0	0.0	NIST	L9267
40.02	Zr	III	1408.386	200.0	0.0	NIST	L9267
40.02	Zr	III	1418.77	150.0	0.0	NIST	L9267
40.02	Zr	III	1420.13	1500.0	0.0001	NIST	L9267
40.02	Zr	III	1420.865	900.0	0.0001	NIST	L9267
40.02	Zr	III	1426.066	140.0	0.0	NIST	L9267
40.02	Zr	III	1444.834	1200.0	0.0001	NIST	L9267
40.02	Zr	III	1451.363	140.0	0.0	NIST	L9267
40.02	Zr	III	1465.375	900.0	0.0001	NIST	L9267
40.02	Zr	III	1489.106	200.0	0.0	NIST	L9267
40.02	Zr	III	1494.632	140.0	0.0	NIST	L9267
40.02	Zr	III	1495.633	10.0	0.0	NIST	L9267
40.02	Zr	III	1503.86	100.0	0.0	NIST	L9267
40.02	Zr	III	1508.385	50.0	0.0	NIST	L9267
40.02	Zr	III	1510.516	180.0	0.0	NIST	L9267
40.02	Zr	III	1514.928	1500.0	0.0001	NIST	L9267
40.02	Zr	III	1563.226	15000.0	0.001	NIST	L9267
40.02	Zr	III	1565.479	3.0	0.0	NIST	L9267
40.02	Zr	III	1583.363	400.0	0.0	NIST	L9267
40.02	Zr	III	1593.557	150000.0	0.01	NIST	L9267
40.02	Zr	III	1609.853	300.0	0.0	NIST	L9267
40.02	Zr	III	1612.329	900000.0	0.06	NIST	L9267
40.02	Zr	III	1615.269	200.0	0.0	NIST	L9267
40.02	Zr	III	1620.586	150000.0	0.01	NIST	L9267
40.02	Zr	III	1631.277	400000.0	0.0267	NIST	L9267
40.02	Zr	III	1636.549	1500.0	0.0001	NIST	L9267
40.02	Zr	III	1638.301	200000.0	0.0133	NIST	L9267
40.02	Zr	III	1653.902	60.0	0.0	NIST	L9267
40.02	Zr	III	1656.774	100.0	0.0	NIST	L9267
40.02	Zr	III	1670.929	2000.0	0.0001	NIST	L9267
40.02	Zr	III	1672.352	100.0	0.0	NIST	L9267
40.02	Zr	III	1675.058	15000.0	0.001	NIST	L9267
40.02	Zr	III	1675.695	12000.0	0.0008	NIST	L9267
40.02	Zr	III	1703.138	25.0	0.0	NIST	L9267
40.02	Zr	III	1703.265	12000.0	0.0008	NIST	L9267
40.02	Zr	III	1712.438	250.0	0.0	NIST	L9267
40.02	Zr	III	1722.704	225.0	0.0	NIST	L9267
40.02	Zr	III	1754.31	200000.0	0.0133	NIST	L9267
40.02	Zr	III	1759.096	175000.0	0.0117	NIST	L9267
40.02	Zr	III	1764.687	12000.0	0.0008	NIST	L9267
40.02	Zr	III	1766.872	350.0	0.0	NIST	L9267
40.02	Zr	III	1770.223	350.0	0.0	NIST	L9267
40.02	Zr	III	1771.862	150000.0	0.01	NIST	L9267
40.02	Zr	III	1773.863	200000.0	0.0133	NIST	L9267
40.02	Zr	III	1779.431	10000000.0	0.6667	NIST	L9267
40.02	Zr	III	1783.252	175000.0	0.0117	NIST	L9267
40.02	Zr	III	1790.111	15000000.0	1.0	NIST	L9267
40.02	Zr	III	1793.521	10000000.0	0.6667	NIST	L9267
40.02	Zr	III	1797.799	12000.0	0.0008	NIST	L9267
40.02	Zr	III	1798.047	8000000.0	0.5333	NIST	L9267
40.02	Zr	III	1799.934	1500000.0	0.1	NIST	L9267
40.02	Zr	III	1805.193	8000000.0	0.5333	NIST	L9267
40.02	Zr	III	1822.295	40.0	0.0	NIST	L9267
40.02	Zr	III	1831.814	150000.0	0.01	NIST	L9267
40.02	Zr	III	1832.131	200.0	0.0	NIST	L9267
40.02	Zr	III	1833.054	70.0	0.0	NIST	L9267
40.02	Zr	III	1852.306	2.0	0.0	NIST	L9267
40.02	Zr	III	1853.357	150000.0	0.01	NIST	L9267
40.02	Zr	III	1856.967	6.0	0.0	NIST	L9267
40.02	Zr	III	1859.071	10000.0	0.0007	NIST	L9267
40.02	Zr	III	1861.671	10000.0	0.0007	NIST	L9267
40.02	Zr	III	1863.972	700000.0	0.0467	NIST	L9267
40.02	Zr	III	1865.379	9000.0	0.0006	NIST	L9267
40.02	Zr	III	1865.813	200.0	0.0	NIST	L9267
40.02	Zr	III	1876.963	150000.0	0.01	NIST	L9267
40.02	Zr	III	1879.856	80.0	0.0	NIST	L9267
40.02	Zr	III	1880.935	1000.0	0.0001	NIST	L9267
40.02	Zr	III	1891.937	125000.0	0.0083	NIST	L9267
40.02	Zr	III	1894.289	800.0	0.0001	NIST	L9267
40.02	Zr	III	1913.273	60.0	0.0	NIST	L9267
40.02	Zr	III	1914.167	800.0	0.0001	NIST	L9267
40.02	Zr	III	1921.92	180000.0	0.012	NIST	L9267
40.02	Zr	III	1925.896	100.0	0.0	NIST	L9267
40.02	Zr	III	1926.566	75.0	0.0	NIST	L9267
40.02	Zr	III	1932.492	150000.0	0.01	NIST	L9267
40.02	Zr	III	1934.251	12000.0	0.0008	NIST	L9267
40.02	Zr	III	1935.097	8000.0	0.0005	NIST	L9267
40.02	Zr	III	1936.433	150000.0	0.01	NIST	L9267
40.02	Zr	III	1936.638	200000.0	0.0133	NIST	L9267
40.02	Zr	III	1937.215	200000.0	0.0133	NIST	L9267
40.02	Zr	III	1937.784	50.0	0.0	NIST	L9267
40.02	Zr	III	1940.234	8000000.0	0.5333	NIST	L9267
40.02	Zr	III	1941.055	2500000.0	0.1667	NIST	L9267
40.02	Zr	III	1944.266	1500.0	0.0001	NIST	L9267
40.02	Zr	III	1946.048	200000.0	0.0133	NIST	L9267
40.02	Zr	III	1946.573	250000.0	0.0167	NIST	L9267
40.02	Zr	III	1946.908	10000.0	0.0007	NIST	L9267
40.02	Zr	III	1951.824	5.0	0.0	NIST	L9267
40.02	Zr	III	1953.893	100.0	0.0	NIST	L9267
40.02	Zr	III	1961.239	10000.0	0.0007	NIST	L9267
40.02	Zr	III	1961.923	400000.0	0.0267	NIST	L9267
40.02	Zr	III	1962.829	8000.0	0.0005	NIST	L9267
40.02	Zr	III	1965.077	50.0	0.0	NIST	L9267
40.02	Zr	III	1966.198	400000.0	0.0267	NIST	L9267
40.02	Zr	III	1967.75	600.0	0.0	NIST	L9267
40.02	Zr	III	1972.604	50.0	0.0	NIST	L9267
40.02	Zr	III	1974.913	200000.0	0.0133	NIST	L9267
40.02	Zr	III	1981.174	80.0	0.0	NIST	L9267
40.02	Zr	III	1981.685	120.0	0.0	NIST	L9267
40.02	Zr	III	1982.574	50.0	0.0	NIST	L9267
40.02	Zr	III	1983.057	4000.0	0.0003	NIST	L9267
40.02	Zr	III	1986.731	100.0	0.0	NIST	L9267
40.02	Zr	III	1989.786	400000.0	0.0267	NIST	L9267
40.02	Zr	III	1990.879	5000.0	0.0003	NIST	L9267
40.02	Zr	III	1994.42	1000.0	0.0001	NIST	L9267
40.02	Zr	III	1996.943	15.0	0.0	NIST	L9267
40.02	Zr	III	1999.472	10000.0	0.0007	NIST	L9267
40.02	Zr	III	2001.911	400000.0	0.0267	NIST	L9267
40.02	Zr	III	2003.232	800.0	0.0001	NIST	L9267
40.02	Zr	III	2004.469	2.0	0.0	NIST	L9267
40.02	Zr	III	2004.62	10.0	0.0	NIST	L9267
40.02	Zr	III	2006.812	1000000.0	0.0667	NIST	L9267
40.02	Zr	III	2008.171	200000.0	0.0133	NIST	L9267
40.02	Zr	III	2013.251	1000.0	0.0001	NIST	L9267
40.02	Zr	III	2016.569	4000.0	0.0003	NIST	L9267
40.02	Zr	III	2019.055	2500.0	0.0002	NIST	L9267
40.02	Zr	III	2021.402	2000.0	0.0001	NIST	L9267
40.02	Zr	III	2023.785	7.0	0.0	NIST	L9267
40.02	Zr	III	2026.706	400000.0	0.0267	NIST	L9267
40.02	Zr	III	2029.869	150000.0	0.01	NIST	L9267
40.02	Zr	III	2030.043	20000.0	0.0013	NIST	L9267
40.02	Zr	III	2033.707	30.0	0.0	NIST	L9267
40.02	Zr	III	2035.351	600000.0	0.04	NIST	L9267
40.02	Zr	III	2036.862	300000.0	0.02	NIST	L9267
40.02	Zr	III	2041.932	75.0	0.0	NIST	L9267
40.02	Zr	III	2043.738	2500.0	0.0002	NIST	L9267
40.02	Zr	III	2056.015	400000.0	0.0267	NIST	L9267
40.02	Zr	III	2058.031	600.0	0.0	NIST	L9267
40.02	Zr	III	2058.663	125000.0	0.0083	NIST	L9267
40.02	Zr	III	2058.936	25.0	0.0	NIST	L9267
40.02	Zr	III	2060.821	400000.0	0.0267	NIST	L9267
40.02	Zr	III	2061.413	5000.0	0.0003	NIST	L9267
40.02	Zr	III	2061.461	2000.0	0.0001	NIST	L9267
40.02	Zr	III	2070.359	750000.0	0.05	NIST	L9267
40.02	Zr	III	2074.061	200000.0	0.0133	NIST	L9267
40.02	Zr	III	2077.898	400000.0	0.0267	NIST	L9267
40.02	Zr	III	2080.916	350000.0	0.0233	NIST	L9267
40.02	Zr	III	2081.479	2000.0	0.0001	NIST	L9267
40.02	Zr	III	2081.738	50000.0	0.0033	NIST	L9267
40.02	Zr	III	2083.669	2000.0	0.0001	NIST	L9267
40.02	Zr	III	2086.779	8000000.0	0.5333	NIST	L9267
40.02	Zr	III	2089.45	150000.0	0.01	NIST	L9267
40.02	Zr	III	2096.951	200000.0	0.0133	NIST	L9267
40.02	Zr	III	2100.271	2000.0	0.0001	NIST	L9267
40.02	Zr	III	2102.284	300000.0	0.02	NIST	L9267
40.02	Zr	III	2102.459	150.0	0.0	NIST	L9267
40.02	Zr	III	2103.092	300000.0	0.02	NIST	L9267
40.02	Zr	III	2103.296	15000.0	0.001	NIST	L9267
40.02	Zr	III	2104.198	10000.0	0.0007	NIST	L9267
40.02	Zr	III	2105.25	10.0	0.0	NIST	L9267
40.02	Zr	III	2108.414	8000.0	0.0005	NIST	L9267
40.02	Zr	III	2114.04	500000.0	0.0333	NIST	L9267
40.02	Zr	III	2116.297	4000.0	0.0003	NIST	L9267
40.02	Zr	III	2116.607	3500.0	0.0002	NIST	L9267
40.02	Zr	III	2119.982	35000.0	0.0023	NIST	L9267
40.02	Zr	III	2120.344	25.0	0.0	NIST	L9267
40.02	Zr	III	2122.73	10.0	0.0	NIST	L9267
40.02	Zr	III	2125.066	35000.0	0.0023	NIST	L9267
40.02	Zr	III	2125.238	18000.0	0.0012	NIST	L9267
40.02	Zr	III	2135.853	20.0	0.0	NIST	L9267
40.02	Zr	III	2137.813	35000.0	0.0023	NIST	L9267
40.02	Zr	III	2138.5	15000.0	0.001	NIST	L9267
40.02	Zr	III	2139.847	12000.0	0.0008	NIST	L9267
40.02	Zr	III	2141.477	9000.0	0.0006	NIST	L9267
40.02	Zr	III	2143.705	15.0	0.0	NIST	L9267
40.02	Zr	III	2143.965	40000.0	0.0027	NIST	L9267
40.02	Zr	III	2151.993	75.0	0.0	NIST	L9267
40.02	Zr	III	2159.231	25000.0	0.0017	NIST	L9267
40.02	Zr	III	2162.138	40000.0	0.0027	NIST	L9267
40.02	Zr	III	2166.374	15000.0	0.001	NIST	L9267
40.02	Zr	III	2175.696	350000.0	0.0233	NIST	L9267
40.02	Zr	III	2178.511	25000.0	0.0017	NIST	L9267
40.02	Zr	III	2180.097	80.0	0.0	NIST	L9267
