atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
40.05	Zr	VI	165.93	5.0	0.0001	NIST	L19460
40.05	Zr	VI	170.342	6.0	0.0001	NIST	L19460
40.05	Zr	VI	174.066	6.0	0.0001	NIST	L19460
40.05	Zr	VI	174.489	70.0	0.0007	NIST	L19460
40.05	Zr	VI	178.236	50.0	0.0005	NIST	L19460
40.05	Zr	VI	178.776	60.0	0.0006	NIST	L19460
40.05	Zr	VI	178.794	30.0	0.0003	NIST	L19460
40.05	Zr	VI	179.144	10.0	0.0001	NIST	L19460
40.05	Zr	VI	179.308	70.0	0.0007	NIST	L19460
40.05	Zr	VI	182.213	30.0	0.0003	NIST	L19460
40.05	Zr	VI	182.55	20.0	0.0002	NIST	L19460
40.05	Zr	VI	182.657	90.0	0.0009	NIST	L19460
40.05	Zr	VI	182.744	80.0	0.0008	NIST	L19460
40.05	Zr	VI	183.262	70.0	0.0007	NIST	L19460
40.05	Zr	VI	183.336	60.0	0.0006	NIST	L19460
40.05	Zr	VI	183.68	90.0	0.0009	NIST	L19460
40.05	Zr	VI	183.908	5.0	0.0001	NIST	L19460
40.05	Zr	VI	184.063	60.0	0.0006	NIST	L19460
40.05	Zr	VI	187.075	20.0	0.0002	NIST	L19460
40.05	Zr	VI	187.361	100.0	0.001	NIST	L19460
40.05	Zr	VI	187.549	80.0	0.0008	NIST	L19460
40.05	Zr	VI	187.83	5.0	0.0001	NIST	L19460
40.05	Zr	VI	187.905	60.0	0.0006	NIST	L19460
40.05	Zr	VI	188.49	20.0	0.0002	NIST	L19460
40.05	Zr	VI	188.912	2.0	0.0	NIST	L19460c153
40.05	Zr	VI	189.046	3.0	0.0	NIST	L19460
40.05	Zr	VI	189.101	30.0	0.0003	NIST	L19460
40.05	Zr	VI	189.267	2.0	0.0	NIST	L19460
40.05	Zr	VI	189.506	5.0	0.0001	NIST	L19460
40.05	Zr	VI	191.557	90.0	0.0009	NIST	L19460
40.05	Zr	VI	191.666	80.0	0.0008	NIST	L19460
40.05	Zr	VI	192.182	20.0	0.0002	NIST	L19460
40.05	Zr	VI	192.696	60.0	0.0006	NIST	L19460
40.05	Zr	VI	194.108	1.0	0.0	NIST	L19460
40.05	Zr	VI	194.197	20.0	0.0002	NIST	L19460c153
40.05	Zr	VI	195.024	2.0	0.0	NIST	L19460c153
40.05	Zr	VI	197.575	80.0	0.0008	NIST	L19460
40.05	Zr	VI	236.281	100.0	0.001	NIST	L19460
40.05	Zr	VI	245.327	90.0	0.0009	NIST	L19460
40.05	Zr	VI	253.678	80.0	0.0008	NIST	L19460
40.05	Zr	VI	254.092	400.0	0.004	NIST	L19460
40.05	Zr	VI	259.888	200.0	0.002	NIST	L19460
40.05	Zr	VI	263.31	500.0	0.005	NIST	L19460
40.05	Zr	VI	264.142	90.0	0.0009	NIST	L19460
40.05	Zr	VI	264.94	100.0	0.001	NIST	L19460
40.05	Zr	VI	270.48	200.0	0.002	NIST	L19460
40.05	Zr	VI	270.872	200.0	0.002	NIST	L19460
40.05	Zr	VI	274.105	200.0	0.002	NIST	L19460
40.05	Zr	VI	274.598	100.0	0.001	NIST	L19460
40.05	Zr	VI	276.364	80.0	0.0008	NIST	L19460
40.05	Zr	VI	279.198	90.0	0.0009	NIST	L19460
40.05	Zr	VI	282.4	90.0	0.0009	NIST	L19460
40.05	Zr	VI	288.73	200.0	0.002	NIST	L19460
40.05	Zr	VI	290.949	500.0	0.005	NIST	L19460
40.05	Zr	VI	291.92	500.0	0.005	NIST	L19460
40.05	Zr	VI	294.395	500.0	0.005	NIST	L19460
40.05	Zr	VI	298.779	300.0	0.003	NIST	L19460
40.05	Zr	VI	302.351	300.0	0.003	NIST	L19460
40.05	Zr	VI	307.148	30.0	0.0003	NIST	L19460
40.05	Zr	VI	308.569	100.0	0.001	NIST	L19460
40.05	Zr	VI	313.15	300.0	0.003	NIST	L19460
40.05	Zr	VI	313.389	300.0	0.003	NIST	L19460
40.05	Zr	VI	329.242	300.0	0.003	NIST	L19460
40.05	Zr	VI	333.768	400.0	0.004	NIST	L19460
40.05	Zr	VI	340.915	30.0	0.0003	NIST	L19460
40.05	Zr	VI	343.493	10.0	0.0001	NIST	L19460
40.05	Zr	VI	348.262	200.0	0.002	NIST	L19460
40.05	Zr	VI	353.221	250.0	0.0025	NIST	L19460
40.05	Zr	VI	357.837	30.0	0.0003	NIST	L19460
40.05	Zr	VI	358.755	300.0	0.003	NIST	L19460
40.05	Zr	VI	364.08	300.0	0.003	NIST	L19460
40.05	Zr	VI	366.095	60.0	0.0006	NIST	L19460
40.05	Zr	VI	366.522	200.0	0.002	NIST	L19460
40.05	Zr	VI	367.523	300.0	0.003	NIST	L19460
40.05	Zr	VI	368.494	300.0	0.003	NIST	L19460
40.05	Zr	VI	368.6	250.0	0.0025	NIST	L19460
40.05	Zr	VI	375.546	30.0	0.0003	NIST	L19460
40.05	Zr	VI	378.342	60.0	0.0006	NIST	L19460
